District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
Kishanganj,45.8,970.0,98.7,14.4,3.0,95.6,32.2,46.9,10.9,24.3,12.4,23.7,14.6,16.6,41.7,55.0,70.3,30.8,10.4,9.9,46.7,35.2,17.0,5.4,7.7,63.6,66.7,40.7,BR,Rural,Eastern Zone
Purnia,54.9,926.0,100.0,11.0,2.7,95.2,35.6,74.4,11.9,36.9,30.3,22.3,7.7,7.2,59.2,62.7,70.5,40.9,13.7,13.2,53.9,39.9,34.2,5.8,4.4,67.1,69.0,35.4,BR,Rural,Eastern Zone
Katihar,49.0,892.0,99.9,16.3,4.2,97.7,36.4,62.0,12.3,39.7,25.6,22.5,8.6,6.8,49.1,70.2,65.0,42.4,6.7,6.5,50.4,33.5,23.2,6.1,5.5,63.4,64.8,38.3,BR,Rural,Eastern Zone
Madhepura,44.6,882.0,100.0,12.9,5.2,96.1,29.7,76.0,12.4,58.5,22.9,17.5,8.9,1.5,59.8,63.4,57.7,46.1,2.8,3.1,52.7,33.6,32.9,7.2,9.9,61.5,57.5,30.9,BR,Rural,Eastern Zone
Saharsa,46.0,976.0,99.7,13.9,8.4,93.2,36.5,62.1,15.1,39.8,27.3,19.9,9.3,11.8,58.8,78.2,60.4,24.8,1.7,2.0,44.8,35.5,27.5,6.7,7.0,69.0,61.1,42.5,BR,Rural,Eastern Zone
Darbhanga,52.0,964.0,99.9,25.1,12.7,90.7,40.9,79.7,15.9,43.5,15.8,23.8,8.4,6.6,46.9,54.0,73.1,21.3,5.4,6.9,49.2,32.9,25.0,9.8,14.0,70.0,65.2,40.4,BR,Rural,Eastern Zone
Muzaffarpur,56.5,924.0,99.7,24.1,15.4,94.4,51.7,75.0,20.8,35.0,9.1,19.6,10.1,4.0,61.7,56.0,58.1,37.3,8.2,7.7,48.6,33.7,31.8,9.2,17.0,58.5,52.5,33.2,BR,Rural,Eastern Zone
Gopalganj,62.5,1035.0,98.9,26.1,19.3,90.6,57.5,85.1,26.8,27.0,8.6,24.7,19.8,13.9,74.8,65.2,68.0,31.6,6.1,7.3,36.0,25.3,25.3,16.4,20.0,62.6,58.7,27.1,BR,Rural,Eastern Zone
Siwan,62.3,976.0,98.6,22.2,17.1,96.2,61.3,88.7,28.7,26.4,9.2,25.4,21.0,20.1,75.1,63.4,70.3,30.9,10.1,10.4,38.2,25.0,17.7,16.0,12.8,63.2,60.8,36.1,BR,Rural,Eastern Zone
Saran,59.6,998.0,98.4,22.0,11.5,79.3,55.0,80.8,24.1,29.8,7.8,25.5,17.7,6.5,61.6,55.0,58.6,42.0,4.5,5.5,46.0,24.3,27.0,17.1,15.8,61.3,52.7,22.7,BR,Rural,Eastern Zone
Vaishali,57.4,851.0,98.1,30.4,16.1,94.9,51.2,80.6,25.8,48.7,23.1,21.7,18.6,14.6,78.3,70.6,75.7,35.0,11.7,10.3,53.6,29.4,25.6,12.6,11.4,67.8,63.4,37.5,BR,Rural,Eastern Zone
Samastipur,55.2,1045.0,98.6,17.5,11.7,87.0,49.3,78.9,21.9,50.4,11.6,26.0,10.4,9.3,72.9,58.5,63.9,37.5,5.3,5.3,49.2,30.0,33.4,7.5,5.0,64.6,59.2,35.4,BR,Rural,Eastern Zone
Begusarai,54.6,1016.0,99.1,30.5,12.3,98.0,47.3,67.1,18.5,55.0,33.5,21.7,7.9,6.2,77.1,80.1,70.3,27.4,2.1,3.1,44.6,33.4,25.3,8.4,15.9,61.9,58.1,35.8,BR,Rural,Eastern Zone
Khagaria,52.5,984.0,99.1,28.9,10.5,97.2,41.8,74.0,18.5,47.4,27.2,22.3,12.5,5.9,70.9,65.7,66.7,32.2,6.3,7.0,50.5,31.5,22.1,10.0,12.0,63.6,59.4,29.9,BR,Rural,Eastern Zone
Bhagalpur,54.8,855.0,97.3,26.5,10.8,88.3,46.3,75.8,18.4,33.9,19.0,19.8,16.4,19.1,66.3,68.4,70.3,35.3,4.5,6.3,48.6,29.0,26.2,8.4,8.5,71.0,59.9,42.7,BR,Rural,Eastern Zone
Banka,52.0,745.0,92.8,13.8,8.1,89.7,42.0,78.4,16.6,46.8,24.8,19.3,16.5,17.1,71.1,65.2,64.0,36.1,6.0,5.9,50.3,32.2,26.5,6.0,12.4,70.0,66.7,44.4,BR,Rural,Eastern Zone
Munger,64.0,904.0,88.6,27.4,15.7,95.5,57.2,84.7,23.9,39.0,33.2,21.4,22.1,9.3,81.5,61.9,69.0,37.3,12.4,11.9,48.4,30.9,24.7,12.7,17.1,61.0,64.6,36.9,BR,Rural,Eastern Zone
Lakhisarai,59.2,952.0,92.9,35.6,11.3,98.7,50.7,80.3,25.1,43.4,32.1,22.9,17.1,3.6,63.9,62.7,59.8,37.6,8.7,9.5,51.2,28.4,16.4,10.5,8.2,64.8,60.8,53.1,BR,Rural,Eastern Zone
Sheikhpura,55.8,1020.0,94.6,29.6,7.8,93.2,43.6,69.6,17.7,41.1,30.9,20.6,12.3,10.8,73.9,63.9,65.3,40.4,18.8,18.1,47.5,36.8,21.3,9.3,6.6,67.2,66.3,34.3,BR,Rural,Eastern Zone
Nalanda,54.4,885.0,98.7,24.4,13.2,97.3,44.8,76.4,21.0,49.4,30.8,22.3,8.5,6.5,78.8,63.3,64.2,42.6,4.3,6.0,55.7,33.3,25.7,7.1,8.4,59.8,63.4,24.0,BR,Rural,Eastern Zone
Patna,75.6,969.0,98.5,67.6,81.1,99.7,75.1,93.3,52.2,25.3,41.8,17.0,31.6,16.2,91.0,69.8,63.0,34.9,7.7,8.2,34.7,19.9,14.3,25.7,21.0,47.6,51.7,23.4,BR,Urban,Eastern Zone
Patna,59.9,1059.0,99.1,30.3,19.2,97.5,53.2,76.0,25.6,30.2,34.1,18.6,13.1,25.3,82.7,69.7,49.5,42.0,1.3,1.1,51.4,28.6,21.8,12.3,9.2,55.0,63.0,35.7,BR,Rural,Eastern Zone
Bhojpur,60.9,986.0,99.9,21.2,13.3,92.3,54.1,85.7,25.9,33.6,23.4,19.7,14.3,8.9,79.1,70.6,63.2,28.8,8.7,9.9,44.3,24.7,20.0,12.3,8.9,69.0,58.3,37.6,BR,Rural,Eastern Zone
Buxar,64.3,961.0,99.9,23.3,15.5,98.2,59.6,87.6,26.7,32.5,32.6,16.2,21.0,7.4,81.2,62.5,64.2,30.8,8.9,8.7,45.4,25.4,20.8,14.7,8.6,59.9,51.7,29.8,BR,Rural,Eastern Zone
Kaimur (Bhabua),59.9,885.0,95.0,19.0,9.1,96.3,58.0,79.1,27.3,31.7,34.0,19.2,8.7,2.7,79.7,72.2,48.5,41.0,4.5,4.6,55.0,29.0,27.8,11.6,12.2,63.5,57.8,17.7,BR,Rural,Eastern Zone
Rohtas,66.2,846.0,99.3,22.1,10.9,99.1,62.6,78.6,29.6,30.3,40.5,17.3,13.1,7.1,82.1,75.6,62.8,17.5,0.8,0.6,48.1,27.5,26.4,13.5,11.6,63.5,63.0,15.2,BR,Rural,Eastern Zone
Aurangabad,60.0,919.0,98.8,22.6,10.4,93.1,56.9,90.1,29.3,34.9,32.1,19.9,15.7,7.9,70.4,78.3,60.2,42.6,9.4,9.5,48.8,32.7,34.0,10.7,21.6,54.5,53.9,17.1,BR,Rural,Eastern Zone
Gaya,54.9,943.0,96.3,23.3,10.2,98.3,48.1,78.4,23.2,51.3,32.5,19.9,9.2,5.7,54.5,69.9,67.6,25.6,7.5,7.1,53.5,37.4,24.5,9.6,17.1,59.4,63.0,29.5,BR,Rural,Eastern Zone
Nawada,53.4,948.0,98.6,23.8,14.0,97.8,43.2,65.5,21.8,44.5,29.7,21.9,12.9,8.2,65.0,62.9,59.0,37.5,13.4,11.5,50.4,33.1,28.5,9.5,9.4,56.8,60.8,25.7,BR,Rural,Eastern Zone
Jamui,52.3,903.0,77.5,12.7,6.6,92.1,42.8,76.8,15.3,51.9,23.5,22.2,10.1,13.5,58.0,56.1,49.5,32.5,4.3,4.3,46.7,37.9,25.5,6.9,11.7,60.0,62.1,33.5,BR,Rural,Eastern Zone
Jehanabad,56.8,841.0,99.3,24.9,10.3,97.0,51.0,74.6,29.7,39.7,31.0,18.0,15.0,14.1,82.7,66.9,58.7,50.5,13.4,15.0,54.7,31.2,29.7,9.5,10.2,62.6,58.5,25.7,BR,Rural,Eastern Zone
Arwal,59.3,917.0,99.0,20.8,7.9,93.2,54.2,82.4,30.5,38.9,26.7,20.4,11.6,5.9,69.8,74.9,58.8,37.6,3.4,3.9,51.1,31.4,28.6,7.8,6.1,65.3,56.4,29.6,BR,Rural,Eastern Zone
North District,77.8,1010.0,97.8,92.2,39.4,99.2,84.9,88.8,34.0,12.2,48.7,19.9,72.4,68.9,94.1,87.8,92.0,60.8,17.2,19.3,23.1,3.5,1.6,24.1,41.2,62.6,43.1,24.4,SK,Rural,Eastern Zone
West District,76.8,818.0,93.7,94.5,38.4,99.9,83.9,89.5,34.5,12.9,64.7,14.8,84.5,65.9,94.4,77.7,80.9,72.7,19.4,18.2,43.0,5.8,3.0,22.0,29.3,59.8,37.4,18.4,SK,Rural,Eastern Zone
East District,85.3,606.0,99.1,76.3,92.5,99.8,89.0,96.1,49.6,16.7,31.3,26.1,75.4,43.2,94.4,80.8,79.4,57.2,20.1,20.9,22.4,8.2,1.1,34.3,44.3,57.3,33.9,9.9,SK,Urban,Eastern Zone
East District,75.5,833.0,97.1,91.9,46.2,99.5,86.7,90.9,36.1,14.7,33.1,26.1,59.1,41.6,92.3,77.7,88.8,65.5,32.2,31.7,25.6,7.7,4.0,26.5,27.7,40.6,35.0,16.8,SK,Rural,Eastern Zone
Kannur,97.38,1086.57,93.03,98.79,54.58,97.62,98.79,100.0,67.32,7.83,47.68,14.85,91.33,76.69,100.0,88.89,62.28,82.12,17.64,17.34,28.86,9.95,8.24,28.37,26.84,43.7,36.68,9.57,KL,Urban,Southern Zone
Wayanad,88.77,1230.46,93.6,95.07,31.79,96.86,92.51,94.38,60.88,14.25,52.16,11.48,91.45,73.58,99.74,71.86,68.24,62.49,19.59,20.84,26.18,12.54,6.28,23.74,32.88,44.8,32.23,12.12,KL,Rural,Southern Zone
Kozhikode,95.42,1355.71,94.19,99.18,43.18,96.62,99.26,97.03,70.52,6.31,48.91,12.71,100.0,82.48,100.0,69.27,75.99,72.38,16.91,16.91,15.61,16.47,7.58,23.07,9.27,40.6,38.86,4.64,KL,Rural,Southern Zone
Malappuram,95.52,788.54,93.87,98.5,47.97,99.13,98.35,97.76,66.36,26.75,37.2,17.02,92.01,64.57,100.0,61.13,67.82,58.15,38.51,37.51,24.13,8.1,6.56,34.38,33.76,53.27,37.77,12.68,KL,Urban,Southern Zone
Malappuram,93.89,1136.24,93.72,98.83,43.48,99.55,98.44,98.83,64.77,19.59,41.99,17.79,94.45,63.24,99.1,80.2,63.56,74.15,35.69,35.69,28.67,9.39,6.5,33.84,33.16,55.98,39.36,11.43,KL,Rural,Southern Zone
Palakkad,91.18,1041.05,92.72,96.95,46.34,96.59,95.4,97.86,62.75,13.07,59.22,13.0,92.26,77.32,100.0,87.84,66.94,70.39,17.29,18.38,18.64,14.08,13.07,30.43,23.1,39.22,41.47,17.17,KL,Rural,Southern Zone
Pathanamthitta,97.22,1124.27,93.3,97.11,57.54,99.31,98.61,98.64,77.19,1.34,49.56,14.54,90.12,67.73,100.0,77.52,83.91,42.91,27.01,23.99,14.03,10.15,8.0,39.06,36.37,17.05,22.11,7.74,KL,Rural,Southern Zone
Garhwa,54.98,966.3,86.21,9.46,4.44,92.9,49.61,78.79,18.44,60.71,32.64,23.32,10.85,2.89,56.96,54.02,50.59,32.65,7.79,7.06,46.17,32.24,27.48,7.33,9.11,64.86,60.43,29.24,JH,Rural,Eastern Zone
Chatra,55.94,961.51,64.93,10.57,7.83,98.03,49.92,66.67,19.75,50.78,35.21,19.77,10.96,6.58,54.55,41.05,56.26,27.14,10.27,10.27,50.85,37.91,34.18,4.51,9.93,61.53,56.7,30.01,JH,Rural,Eastern Zone
Kodarma,58.24,876.26,78.75,18.05,19.77,95.34,52.62,86.95,22.54,61.23,48.23,12.31,54.78,7.79,75.33,68.26,50.16,21.16,5.68,8.21,43.6,35.96,27.1,7.34,11.16,75.24,63.85,32.23,JH,Rural,Eastern Zone
Giridih,55.2,752.1,63.13,11.91,9.1,98.8,46.55,74.45,15.33,56.56,43.51,18.8,35.25,9.51,61.24,44.98,63.54,39.08,1.62,1.52,45.24,36.43,21.41,5.23,4.15,75.42,69.92,28.75,JH,Rural,Eastern Zone
Deoghar,54.66,808.03,86.86,9.43,8.18,96.73,46.01,79.01,16.7,61.25,40.87,18.91,22.27,19.9,53.55,62.3,42.01,35.14,7.13,7.3,45.65,42.28,29.73,4.3,6.53,64.51,57.42,24.26,JH,Rural,Eastern Zone
Godda,50.65,912.63,84.03,14.6,4.11,97.22,40.61,73.57,16.73,65.18,40.71,16.19,28.22,9.13,57.72,60.76,47.29,40.22,6.75,6.51,55.11,36.95,25.3,5.96,7.64,81.99,71.8,27.56,JH,Rural,Eastern Zone
Sahibganj,48.48,854.88,78.81,21.63,6.0,97.84,41.44,57.06,12.52,42.73,32.2,17.81,19.95,8.13,46.7,62.81,48.59,28.98,5.74,5.64,49.53,32.14,21.3,6.94,7.84,71.07,62.15,23.91,JH,Rural,Eastern Zone
Pakur,50.14,907.39,88.45,10.8,4.02,96.91,38.16,68.68,11.67,40.06,30.17,20.04,29.62,8.93,48.4,70.68,63.93,41.73,5.7,5.39,51.47,38.2,36.34,5.44,6.6,73.77,71.39,31.72,JH,Rural,Eastern Zone
Dhanbad,71.22,874.67,84.22,39.32,29.73,99.3,73.59,87.29,38.43,27.37,49.32,11.85,50.25,23.69,76.24,69.2,43.52,27.11,9.64,8.14,36.34,25.85,22.78,19.85,12.65,66.11,58.89,34.37,JH,Urban,Eastern Zone
Dhanbad,59.12,998.59,71.04,12.7,6.94,97.09,60.23,84.5,21.8,34.08,43.02,11.98,27.78,16.35,52.19,78.57,53.23,12.36,7.35,6.97,40.99,38.51,25.44,6.78,7.34,74.54,70.64,26.9,JH,Rural,Eastern Zone
Bokaro,72.15,941.18,89.14,59.0,48.74,98.43,72.88,86.65,46.38,22.85,51.08,16.76,53.59,33.85,74.95,60.69,49.34,27.07,9.65,8.91,32.85,24.36,17.99,18.91,25.54,68.5,67.1,29.86,JH,Urban,Eastern Zone
Bokaro,55.24,913.58,70.13,11.62,4.06,99.19,53.17,87.42,24.83,40.57,51.09,18.22,24.75,14.47,51.76,71.0,47.58,19.16,6.76,6.43,45.86,37.43,22.51,4.93,3.49,79.09,78.06,48.66,JH,Rural,Eastern Zone
Lohardaga,57.01,1096.0,69.8,12.38,6.39,97.73,55.53,78.36,26.85,30.0,21.99,22.43,13.97,20.62,70.27,57.9,60.8,54.96,9.57,8.73,43.82,37.21,29.41,5.24,8.41,64.13,67.92,46.72,JH,Rural,Eastern Zone
Purbi Singhbhum,80.91,971.01,95.95,70.95,69.06,98.76,83.37,94.65,59.08,16.18,35.55,16.4,65.94,19.63,87.2,62.49,37.58,24.64,18.1,16.7,28.2,14.69,13.57,23.52,18.11,59.38,60.56,29.62,JH,Urban,Eastern Zone
Purbi Singhbhum,56.11,815.06,83.09,8.9,4.43,99.29,54.56,73.15,21.1,38.06,24.66,17.18,34.92,10.57,76.11,77.33,56.58,25.52,11.52,11.11,50.15,27.96,16.35,6.54,8.69,73.65,74.79,41.43,JH,Rural,Eastern Zone
Palamu,53.35,1053.19,89.42,10.68,6.81,94.2,52.46,74.59,21.15,46.03,24.0,21.17,19.14,7.48,51.44,54.94,51.99,33.28,3.88,4.81,46.27,32.41,31.48,8.53,9.82,59.42,52.67,26.64,JH,Rural,Eastern Zone
Latehar,56.11,837.04,75.5,9.58,3.19,97.65,49.9,68.46,18.03,38.33,25.0,21.9,13.44,7.05,49.62,53.22,53.35,31.97,6.13,7.92,44.87,30.96,29.92,6.67,9.49,48.99,53.22,43.13,JH,Rural,Eastern Zone
Hazaribagh,60.76,862.6,64.98,17.12,10.06,97.91,58.64,83.5,29.82,48.5,55.19,16.23,35.62,12.13,74.26,71.93,69.18,41.06,1.69,1.65,51.34,33.38,22.51,7.7,14.28,66.85,61.62,20.0,JH,Rural,Eastern Zone
Ramgarh,74.39,960.93,72.37,51.04,33.2,98.11,80.98,81.39,47.63,22.88,39.96,14.65,43.7,21.36,78.3,64.94,44.54,32.91,8.11,7.65,31.16,23.41,27.23,20.04,13.66,73.55,64.2,21.75,JH,Urban,Eastern Zone
Ramgarh,62.03,979.25,64.22,30.1,5.81,97.24,69.23,82.8,32.04,32.1,41.39,15.2,26.68,17.63,66.29,66.9,53.2,38.4,5.68,5.46,44.92,33.02,21.79,7.0,9.22,69.61,70.23,37.49,JH,Rural,Eastern Zone
Dumka,55.72,1030.49,88.74,7.67,3.87,96.92,48.7,69.76,11.46,48.61,33.5,19.1,27.94,12.82,52.6,75.6,49.95,30.9,16.59,16.44,44.6,38.95,16.65,2.5,8.45,76.0,65.59,32.01,JH,Rural,Eastern Zone
Jamtara,53.77,898.17,90.62,10.13,1.2,97.43,43.67,76.47,11.64,46.91,37.79,17.37,26.61,12.74,57.79,61.65,45.39,34.45,9.41,9.42,43.64,38.38,23.81,4.28,7.37,76.31,65.7,34.94,JH,Rural,Eastern Zone
Ranchi,81.85,847.86,92.32,66.17,75.79,99.28,85.48,90.24,61.32,20.35,36.02,17.93,59.22,44.08,87.61,70.85,51.34,37.98,8.36,12.21,23.99,18.68,20.77,26.57,26.95,49.5,53.08,12.4,JH,Urban,Eastern Zone
Ranchi,62.19,1165.18,62.31,16.96,12.11,97.73,62.37,81.63,30.69,34.28,41.36,18.13,27.16,27.27,69.82,65.86,56.86,38.6,3.68,4.33,51.85,37.89,32.33,7.05,4.22,74.13,73.81,39.26,JH,Rural,Eastern Zone
Khunti,56.23,1079.01,52.8,10.34,2.76,97.57,55.96,70.51,23.07,29.51,32.79,19.43,42.14,23.74,65.16,69.34,62.31,27.97,12.04,11.79,40.84,25.96,16.54,4.2,3.78,65.99,64.83,44.46,JH,Rural,Eastern Zone
Gumla,64.02,988.1,46.61,13.34,5.93,98.7,66.24,82.1,25.57,25.05,22.92,25.61,24.2,19.44,67.78,58.57,68.48,30.86,10.0,9.59,46.51,28.53,25.63,5.41,7.86,73.51,70.36,36.24,JH,Rural,Eastern Zone
Simdega,57.65,1161.28,56.71,4.7,1.79,99.64,55.67,73.94,21.68,15.83,22.87,26.43,12.53,6.72,45.6,52.53,54.72,33.21,17.28,16.99,39.95,31.08,30.32,2.84,1.3,81.85,78.92,44.21,JH,Rural,Eastern Zone
Pashchimi Singhbhum,46.17,983.66,63.95,10.32,2.42,99.44,43.0,64.02,14.32,22.9,13.1,26.32,10.03,10.07,33.02,48.14,34.91,31.68,0.91,0.86,62.94,34.38,23.89,5.27,3.53,84.23,75.44,36.3,JH,Rural,Eastern Zone
Saraikela Kharsawan,57.65,908.13,72.22,9.29,4.09,90.35,52.68,78.62,24.52,36.42,23.62,20.95,21.2,19.9,61.31,74.53,57.4,54.27,6.3,5.97,47.08,41.34,29.1,5.86,9.63,82.43,83.37,43.7,JH,Rural,Eastern Zone
Kupwara,63.49,915.16,86.59,33.32,39.66,97.49,62.84,86.76,24.3,10.09,34.07,14.83,87.07,19.23,89.99,76.71,67.88,40.26,18.94,21.98,30.12,16.89,17.89,16.08,12.68,62.66,59.84,13.62,JK,Rural,Northern Zone
Badgam,54.32,1032.62,96.5,44.93,54.72,98.95,55.91,77.52,25.16,3.35,61.83,7.01,95.24,15.78,96.38,85.74,68.87,64.36,12.12,12.24,23.01,12.17,11.77,29.09,13.69,55.4,52.46,10.57,JK,Rural,Northern Zone
Leh(Ladakh),70.97,834.12,76.79,26.23,98.51,100.0,78.58,82.24,57.61,6.09,66.05,11.78,96.28,20.07,98.98,88.99,81.17,74.3,17.89,18.42,20.81,5.23,5.28,19.21,37.84,50.41,37.95,9.8,JK,Urban,Northern Zone
Leh(Ladakh),55.31,825.9,67.48,11.2,81.52,98.77,67.41,88.58,40.52,4.69,71.98,9.54,88.77,36.84,95.65,76.71,59.8,61.41,29.23,32.43,20.46,5.1,9.09,19.21,23.85,39.05,31.15,1.64,JK,Rural,Northern Zone
Kargil,61.25,760.01,83.76,8.82,31.78,97.99,63.23,87.13,37.28,5.73,60.06,8.16,86.1,29.45,85.77,80.18,70.46,51.6,21.76,24.12,42.13,15.54,8.74,11.15,10.25,47.17,31.73,5.25,JK,Rural,Northern Zone
Punch,66.3,840.21,72.98,53.44,19.79,86.09,64.68,90.33,33.32,17.97,43.0,13.91,74.15,39.56,79.81,83.19,80.0,47.65,26.58,30.56,28.08,14.86,20.43,19.94,15.54,42.55,27.7,12.73,JK,Rural,Northern Zone
Rajouri,66.9,1105.93,64.03,36.35,27.83,82.66,67.86,87.56,32.23,26.17,23.43,21.58,55.49,18.32,75.84,42.18,61.77,58.44,22.6,23.59,37.09,18.19,13.27,19.43,14.37,45.72,34.37,16.89,JK,Rural,Northern Zone
Kathua,69.65,771.33,81.98,38.97,32.72,94.42,77.84,89.9,41.39,6.65,63.03,10.63,92.53,54.05,91.22,81.17,45.99,48.93,23.05,22.81,32.16,16.2,14.64,23.28,15.56,39.74,35.16,21.43,JK,Rural,Northern Zone
Baramula,62.01,998.03,90.55,60.54,64.58,98.6,64.0,81.37,29.32,3.88,46.08,11.61,95.53,31.6,92.61,82.57,73.03,52.99,30.59,33.85,28.39,16.71,9.0,21.06,18.57,54.11,46.38,10.85,JK,Rural,Northern Zone
Bandipore,61.68,819.44,89.12,40.16,47.43,99.54,59.94,80.63,26.8,6.6,36.48,14.76,90.17,16.24,85.22,79.25,67.44,36.6,17.28,19.22,23.1,9.13,7.59,32.92,19.27,43.84,42.04,10.64,JK,Rural,Northern Zone
Srinagar,65.27,1059.48,97.43,66.56,97.29,99.45,74.63,85.01,45.86,3.32,64.48,6.91,90.93,27.29,99.2,85.22,75.73,32.17,18.22,16.87,27.31,4.23,2.13,41.18,35.37,35.85,48.8,15.43,JK,Urban,Northern Zone
Ganderbal,55.62,1140.6,95.01,53.35,59.5,99.46,57.69,81.65,22.92,8.64,47.29,14.39,94.51,12.98,95.31,80.64,72.9,45.0,24.3,24.01,24.91,10.15,12.18,31.08,15.28,41.91,41.66,15.21,JK,Rural,Northern Zone
Pulwama,62.37,859.17,95.57,66.84,77.56,99.37,67.63,88.42,37.24,0.54,37.24,6.58,98.18,29.93,93.89,90.98,67.62,41.13,21.01,20.74,22.83,9.06,10.0,33.74,22.13,40.87,48.93,18.39,JK,Rural,Northern Zone
Shupiyan,62.63,1157.49,94.13,57.46,39.5,96.88,64.43,86.72,33.5,3.04,33.82,8.4,96.07,20.62,92.07,70.74,60.9,44.32,17.08,16.87,23.99,9.43,8.41,30.78,15.57,37.67,39.45,11.83,JK,Rural,Northern Zone
Anantnag,60.58,831.56,93.14,57.28,62.21,95.84,63.14,89.51,27.94,5.72,35.09,12.57,81.21,11.67,87.69,70.43,71.84,46.16,9.63,15.62,18.98,10.12,10.78,29.8,11.28,23.37,27.8,9.78,JK,Rural,Northern Zone
Kulgam,59.92,1043.88,98.0,48.92,44.0,96.5,60.5,83.44,26.79,3.67,36.04,10.22,93.97,20.28,87.65,80.5,63.02,52.1,29.09,28.36,22.71,7.73,9.24,30.01,13.36,46.44,41.54,9.79,JK,Rural,Northern Zone
Doda,54.67,1021.34,85.93,45.16,11.51,83.59,52.64,82.8,29.98,20.55,22.34,24.15,34.0,8.04,47.6,38.53,51.38,35.94,26.08,29.44,37.47,15.11,16.19,17.02,13.83,31.42,20.67,11.11,JK,Rural,Northern Zone
Ramban,50.57,1060.83,81.14,39.03,15.62,88.21,43.24,80.53,22.03,10.98,27.55,20.19,51.46,17.73,60.48,56.93,81.54,42.9,21.17,25.89,33.95,14.78,9.97,16.61,16.17,36.93,34.08,25.73,JK,Rural,Northern Zone
Kishtwar,51.62,896.58,86.12,38.13,19.83,88.6,50.49,85.11,31.72,19.98,39.46,14.79,52.38,16.79,63.26,73.18,75.02,42.55,24.16,22.37,29.93,13.47,9.77,12.77,13.32,42.98,38.95,29.16,JK,Rural,Northern Zone
Udhampur,62.12,863.69,59.12,26.5,15.25,84.6,67.71,86.57,28.86,13.13,57.7,8.51,89.71,48.87,80.99,80.81,47.2,37.68,17.51,16.54,44.47,19.23,21.2,16.41,12.57,56.51,47.83,38.43,JK,Rural,Northern Zone
Reasi,65.73,866.76,68.92,40.55,14.76,83.03,63.56,84.29,32.11,16.12,46.42,15.94,57.24,37.48,62.37,72.95,70.07,46.34,25.02,25.89,25.32,13.52,13.93,15.61,12.15,54.93,40.1,16.83,JK,Rural,Northern Zone
Samba,74.62,929.09,95.13,43.7,47.14,99.12,80.82,94.64,45.91,7.23,27.68,20.81,77.83,47.74,85.94,70.53,36.84,41.72,32.67,32.9,18.81,16.82,16.5,34.64,22.66,46.24,37.48,8.65,JK,Rural,Northern Zone
Chamba,67.51,951.38,88.91,75.05,19.99,98.55,73.71,93.08,47.03,9.03,44.17,15.54,45.34,36.6,55.6,63.94,51.94,32.23,6.11,5.53,29.37,19.86,18.76,18.58,15.8,67.01,50.63,14.7,HP,Rural,Northern Zone
Kangra,83.37,767.23,97.69,66.75,31.43,99.87,94.27,97.44,65.7,2.48,40.91,18.86,81.55,57.57,87.61,68.61,66.09,44.95,8.49,10.74,25.85,19.25,18.01,27.72,21.61,48.23,61.42,19.98,HP,Rural,Northern Zone
Lahul &Spiti,65.69,786.6,97.11,52.5,59.87,99.73,80.91,90.98,51.86,13.78,58.74,12.89,61.49,46.01,73.32,58.89,51.6,42.74,11.55,9.8,23.03,9.64,8.21,23.41,19.36,94.71,83.23,55.87,HP,Rural,Northern Zone
Kullu,73.15,990.46,94.44,65.86,33.1,98.92,82.12,97.5,44.81,18.9,58.69,15.08,71.11,56.03,70.06,67.8,62.16,51.63,0.71,0.95,19.55,13.28,15.7,25.65,20.24,56.3,62.3,17.45,HP,Rural,Northern Zone
Mandi,74.21,889.12,97.02,71.69,19.85,98.94,86.23,96.5,62.49,14.57,63.33,15.11,52.81,33.9,62.28,80.87,70.91,36.74,15.4,13.86,27.54,15.23,13.25,23.39,14.67,35.14,37.03,13.65,HP,Rural,Northern Zone
Hamirpur,84.44,982.69,96.51,81.21,21.65,98.77,97.7,99.18,66.31,3.2,44.63,19.67,73.38,54.85,90.53,47.65,79.87,40.86,16.06,17.17,28.78,13.49,13.77,30.43,30.53,40.69,35.96,9.24,HP,Rural,Northern Zone
