District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
Dhenkanal,70.09,1040.68,54.97,26.51,13.04,98.52,69.79,81.13,28.85,27.77,51.48,9.13,66.2,35.77,88.86,85.34,66.54,75.86,7.82,7.38,28.65,27.8,23.6,15.01,11.85,40.2,40.75,32.07,OR,Rural,Eastern Zone
Anugul,71.21,864.53,73.7,30.46,15.71,87.58,68.56,83.05,24.25,22.76,50.51,7.99,66.97,35.66,89.61,90.05,62.47,76.84,7.17,6.94,33.57,23.49,21.43,13.12,10.68,35.55,44.53,29.72,OR,Rural,Eastern Zone
Nayagarh,73.45,752.71,79.13,29.52,17.8,90.42,74.4,87.48,20.22,31.29,49.04,11.46,55.36,36.56,91.87,88.79,83.99,61.81,7.89,7.89,27.83,16.93,18.06,22.43,19.96,26.66,39.89,21.07,OR,Rural,Eastern Zone
Khordha,81.3,1139.45,94.4,65.94,67.69,95.46,79.77,97.62,44.62,20.11,48.3,11.0,65.12,36.37,76.4,66.24,77.25,66.21,4.83,5.53,24.6,12.1,7.81,33.96,32.44,13.15,44.11,11.67,OR,Urban,Eastern Zone
Khordha,77.86,813.09,72.8,24.09,20.01,93.3,81.22,87.8,30.44,15.38,49.29,14.6,55.36,31.4,93.87,79.45,75.93,72.95,13.6,12.77,24.76,19.2,12.69,25.72,19.68,24.61,46.7,16.34,OR,Rural,Eastern Zone
Puri,78.72,955.27,94.4,36.75,14.06,99.76,82.61,92.11,29.47,7.47,53.68,11.76,80.27,48.99,97.39,91.26,82.12,65.79,18.78,19.12,16.71,16.84,15.63,24.05,24.63,29.0,44.85,16.65,OR,Rural,Eastern Zone
Ganjam,60.7,717.23,88.05,31.67,21.24,90.16,58.66,82.12,15.01,31.61,48.44,19.27,43.51,26.4,90.06,56.22,49.81,78.37,3.7,3.16,31.19,23.12,19.79,18.23,9.99,41.4,43.68,40.62,OR,Rural,Eastern Zone
Gajapati,50.35,762.35,64.69,34.26,11.66,75.2,42.11,58.51,15.11,24.82,52.69,9.62,47.89,22.6,61.2,46.96,50.84,73.71,3.79,3.24,34.03,24.07,17.03,8.07,12.9,59.78,59.54,35.54,OR,Rural,Eastern Zone
Kandhamal,57.48,1023.97,59.61,14.79,4.63,94.88,54.8,82.9,16.84,22.03,47.18,9.19,64.07,45.01,71.26,73.52,78.52,54.08,10.67,10.35,39.47,28.92,23.81,6.75,5.74,42.37,52.93,28.81,OR,Rural,Eastern Zone
Baudh,68.2,1026.09,88.42,15.46,9.94,90.23,64.01,82.36,17.8,23.53,43.42,8.43,73.46,42.85,82.11,94.2,63.7,89.75,10.16,10.16,42.79,31.46,24.52,8.4,13.58,43.6,49.57,27.65,OR,Rural,Eastern Zone
Subarnapur,69.13,1000.67,96.48,14.06,9.58,99.55,68.92,85.16,25.36,22.36,51.6,10.56,85.03,52.64,92.97,92.59,75.13,82.32,15.03,14.48,47.12,33.26,19.68,12.64,10.83,73.69,69.21,35.16,OR,Rural,Eastern Zone
Balangir,63.1,1091.24,93.38,10.79,4.96,98.58,59.62,83.53,19.0,14.27,51.32,7.35,76.63,47.47,87.62,91.76,48.29,81.96,9.07,8.35,44.41,34.54,20.81,8.96,9.53,67.99,61.14,38.25,OR,Rural,Eastern Zone
Nuapada,56.28,994.8,94.74,18.52,5.77,98.52,48.29,77.45,18.55,19.74,43.23,8.59,75.32,43.73,84.13,84.28,57.89,84.73,2.97,2.81,36.37,35.07,27.87,4.96,8.54,65.55,65.82,45.73,OR,Rural,Eastern Zone
Kalahandi,48.85,872.9,93.49,10.52,3.24,96.13,42.91,69.06,15.82,22.94,46.37,9.39,44.59,33.93,72.6,89.25,77.23,70.58,3.81,4.66,37.32,36.12,34.13,7.36,8.58,69.63,70.6,40.28,OR,Rural,Eastern Zone
Rayagada,38.88,973.16,90.09,16.48,7.43,78.15,29.05,55.55,8.7,37.14,43.42,10.15,57.95,52.4,68.96,72.55,71.29,70.89,11.46,10.76,46.45,35.63,33.4,6.4,7.02,51.48,56.69,32.57,OR,Rural,Eastern Zone
Nabarangapur,46.35,1072.9,98.39,13.88,5.21,86.5,38.36,58.7,8.04,37.54,48.91,7.24,70.0,34.96,63.4,71.48,77.26,60.92,11.22,10.97,46.64,37.18,28.35,5.54,5.11,72.71,71.52,42.1,OR,Rural,Eastern Zone
Koraput,41.96,880.31,84.68,13.2,9.69,88.39,33.58,68.18,10.1,34.04,49.04,9.37,58.51,32.8,63.67,64.77,53.25,71.66,2.06,2.89,43.74,37.41,27.13,6.29,8.8,73.12,67.61,44.33,OR,Rural,Eastern Zone
