,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),29. Mothers who had antenatal check-up in the first trimester (%),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
91,Chirang,824.0,922.0,106.0,66.5,975.0,1153.0,29.9,15.5,62.3,74.7,19.6,34.6,30.6,61.2,41.4,86.8,34.0,11.7,35.1,11.3,59.9,3.8,40.1,47.5,76.1,4.7,4.4,39.4,21.9,36.8,49.3,0.5,6.2,6.4,AS,Rural,North Eastern Zone
93,Kamrup,819.0,995.0,105.0,75.7,1006.0,1014.0,52.9,34.8,76.2,88.8,32.3,28.3,29.2,48.3,42.2,80.2,22.2,11.1,58.9,27.7,82.5,4.7,37.1,56.2,59.6,6.9,9.7,34.2,18.5,33.9,52.0,5.6,7.7,9.0,AS,Rural,North Eastern Zone
95,Kamrup Metropolitan,701.0,694.0,67.0,89.5,981.0,825.0,62.5,87.4,86.3,94.6,52.7,21.5,36.7,67.4,60.0,86.7,47.7,30.9,73.4,26.2,94.2,0.0,77.1,58.4,60.1,12.2,13.2,23.3,16.2,32.9,54.8,8.5,12.2,9.5,AS,Urban,North Eastern Zone
97,Nalbari,804.0,976.0,138.0,78.1,967.0,900.0,52.1,33.6,78.5,83.7,32.4,27.6,44.8,60.4,47.9,94.1,34.2,16.9,49.9,12.2,81.5,2.3,45.2,48.1,72.9,2.7,2.6,27.7,20.7,46.1,44.4,4.1,2.7,4.0,AS,Rural,North Eastern Zone
99,Baksa,872.0,1025.0,119.0,71.8,1048.0,979.0,54.3,15.9,72.4,83.5,27.8,29.3,38.9,60.9,49.7,92.5,39.9,21.5,69.6,33.7,87.6,1.6,59.3,54.7,74.0,13.0,12.7,32.8,17.5,38.9,53.0,5.7,7.1,2.7,AS,Rural,North Eastern Zone
101,Darrang,860.0,1010.0,133.0,69.1,969.0,983.0,44.6,12.8,66.1,70.0,21.1,40.3,45.1,60.7,38.2,95.5,25.6,12.0,38.8,11.6,64.3,3.3,40.8,47.8,74.0,1.1,1.1,43.7,27.5,45.8,45.8,1.8,9.0,11.5,AS,Rural,North Eastern Zone
103,Udalguri,881.0,1033.0,144.0,67.9,979.0,890.0,53.6,10.4,65.5,82.5,20.3,31.3,46.5,44.6,36.0,94.1,29.4,13.7,62.2,29.2,70.6,3.4,55.9,62.4,82.2,3.3,3.2,39.0,20.6,40.6,56.3,2.9,1.2,1.7,AS,Rural,North Eastern Zone
106,Garhwa,973.48,1103.13,122.9,54.98,1019.23,966.3,9.46,4.44,49.61,78.79,18.44,60.71,32.64,34.05,10.85,91.36,2.89,1.23,34.99,17.87,56.96,9.02,54.02,50.59,32.65,7.79,7.06,46.17,32.24,64.86,60.43,10.69,4.82,7.11,JH,Rural,Eastern Zone
109,Chatra,752.74,878.08,89.79,55.94,1064.13,961.51,10.57,7.83,49.92,66.67,19.75,50.78,35.21,26.42,10.96,81.32,6.58,2.51,37.29,12.4,54.55,7.56,41.05,56.26,27.14,10.27,10.27,50.85,37.91,61.53,56.7,15.49,3.73,5.01,JH,Rural,Eastern Zone
112,Kodarma,394.91,486.56,46.87,58.24,1120.39,876.26,18.05,19.77,52.62,86.95,22.54,61.23,48.23,66.59,54.78,95.14,7.79,5.95,59.94,19.58,75.33,7.11,68.26,50.16,21.16,5.68,8.21,43.6,35.96,75.24,63.85,20.75,2.55,0.56,JH,Rural,Eastern Zone
