,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),29. Mothers who had antenatal check-up in the first trimester (%),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
1329,Rajnandgaon,1166.0,1628.0,190.4,74.95,1028.0,1041.0,44.77,19.72,75.95,95.81,28.0,17.24,62.85,69.79,64.22,96.46,40.04,32.91,86.79,54.51,83.52,8.61,87.07,76.58,66.65,13.5,13.19,48.77,16.29,29.69,43.68,24.32,9.09,9.66,CT,Total,Central Zone
1332,Durg,2441.0,3129.0,457.2,75.33,997.0,880.0,44.66,36.4,75.74,91.94,35.77,16.91,62.88,78.05,59.85,95.22,37.27,24.56,61.54,21.33,71.87,10.74,90.39,72.53,40.63,3.21,3.6,34.25,24.12,44.42,49.06,27.19,10.75,14.88,CT,Total,Central Zone
1335,Raipur,3182.0,4031.0,546.6,70.28,1004.0,998.0,38.61,34.74,69.72,87.96,28.47,18.91,55.04,78.22,76.31,93.9,31.32,27.57,67.62,47.61,69.13,10.15,80.14,70.65,44.16,10.71,10.9,38.27,26.7,47.11,50.89,12.75,4.81,7.58,CT,Total,Central Zone
1337,Mahasamund,917.0,1128.0,166.0,65.12,1049.0,886.0,22.03,12.85,64.61,86.76,20.97,19.55,61.93,77.52,60.86,96.66,22.98,13.37,57.42,28.02,77.94,7.26,74.82,58.92,49.94,19.63,19.26,43.74,28.57,38.04,49.48,11.48,4.59,5.55,CT,Total,Central Zone
1339,Dhamtari,635.0,850.0,111.9,73.45,1017.0,1108.0,54.54,20.58,75.38,90.29,28.65,8.48,69.76,79.41,76.29,99.2,41.92,35.53,76.85,55.46,82.63,8.03,88.15,60.29,48.69,11.26,10.38,34.21,29.78,52.66,55.21,13.91,4.66,4.99,CT,Total,Central Zone
1341,Uttar Bastar Kanker,557.0,706.0,98.5,68.57,1052.0,811.0,38.66,14.52,64.45,86.78,28.25,14.48,53.42,83.83,72.11,93.65,38.49,27.78,60.79,32.41,77.5,5.53,81.98,69.29,44.67,4.4,7.01,36.32,35.48,61.85,67.46,7.69,3.52,8.63,CT,Total,Central Zone
1343,Bastar,1095.0,1390.0,188.9,54.26,1082.0,1043.0,17.61,10.43,47.17,71.41,17.07,20.11,42.94,59.13,55.76,97.19,29.07,17.83,52.98,38.97,66.35,8.39,71.57,65.82,54.75,8.86,8.48,41.61,37.14,59.4,67.59,12.3,2.28,2.37,CT,Total,Central Zone
1345,Narayanpur,99.4,152.0,21.6,58.26,1094.0,869.0,15.59,11.81,48.27,77.7,16.8,16.66,38.96,54.29,40.91,83.84,23.49,18.36,63.04,42.57,61.25,10.71,62.37,69.83,57.53,4.12,3.61,49.03,23.9,48.18,58.93,14.24,4.88,5.56,CT,Total,Central Zone
1347,Dakshin Bastar Dantewada,427.0,547.0,70.8,43.56,1021.0,1088.0,22.44,16.07,38.01,53.8,15.91,19.39,31.66,63.39,60.46,95.08,26.13,19.79,46.13,31.54,58.25,7.1,66.05,65.06,39.71,7.17,7.05,44.24,40.64,71.26,74.49,9.25,2.7,1.94,CT,Total,Central Zone
1349,Bijapur,193.0,267.0,32.09,67.73,1006.0,941.0,21.92,9.55,64.38,87.58,20.21,17.25,50.56,62.47,49.04,94.6,21.27,15.47,63.89,30.98,75.46,6.64,83.69,77.47,47.94,6.15,5.78,48.19,20.1,51.33,68.73,13.34,4.21,4.25,CT,Total,Central Zone
1351,Uttarkashi,878.0,994.0,139.0,65.8,1031.0,825.0,48.5,28.2,71.2,92.6,40.2,11.6,64.9,43.8,22.2,93.2,28.0,9.6,45.6,14.4,65.1,1.6,72.0,28.4,31.2,6.1,5.3,35.2,16.9,76.2,52.6,8.2,6.6,9.8,UT,Total,Central Zone
1353,Chamoli,870.0,849.0,85.0,74.3,1150.0,950.0,62.4,34.8,85.8,95.9,49.8,10.6,58.4,49.2,20.3,90.7,18.8,5.9,47.9,30.9,53.3,7.3,62.2,38.6,42.9,9.3,10.7,33.7,15.2,53.6,37.6,20.6,6.7,10.0,UT,Total,Central Zone
1355,Rudraprayag,888.0,905.0,84.0,70.8,1169.0,879.0,67.6,32.5,83.3,98.0,52.1,9.1,59.1,55.5,17.2,95.4,24.4,5.7,57.5,30.2,66.5,1.0,70.3,49.1,52.9,10.7,9.6,29.9,14.8,58.6,38.4,22.9,6.0,11.7,UT,Total,Central Zone
1357,Tehri Garhwal,891.0,984.0,93.0,65.8,1161.0,953.0,65.8,35.1,77.1,91.9,53.8,10.0,62.7,53.8,23.8,92.6,24.4,7.2,52.7,10.7,71.1,1.3,51.1,29.0,35.1,6.6,5.7,30.1,18.1,59.9,44.6,12.6,6.7,5.6,UT,Total,Central Zone
1360,Dehradun,1828.0,2032.0,231.0,79.9,936.0,832.0,75.6,84.9,84.6,95.5,60.3,9.0,53.1,71.9,47.1,97.5,29.2,18.9,68.6,31.0,83.7,2.4,60.7,34.6,30.6,12.6,11.5,28.5,16.2,50.6,41.9,20.1,7.8,15.7,UT,Total,Central Zone
1362,Garhwal,871.0,939.0,122.0,75.6,1210.0,705.0,66.2,35.4,87.2,96.0,51.8,6.2,62.3,61.4,36.4,95.6,26.3,11.9,56.3,15.7,74.5,1.5,61.2,40.3,26.3,2.8,3.7,22.9,16.6,58.1,42.4,11.1,7.1,12.2,UT,Total,Central Zone
1364,Pithoragarh,911.0,862.0,94.0,71.8,1069.0,758.0,62.7,36.8,79.0,92.5,38.7,26.6,66.8,49.9,30.8,92.7,28.7,14.7,56.4,12.0,73.0,2.2,74.2,46.1,26.5,14.7,13.7,30.6,13.5,42.3,34.5,28.6,7.9,13.5,UT,Total,Central Zone
1366,Bageshwar,926.0,1072.0,107.0,73.3,1144.0,879.0,67.4,23.0,79.5,94.0,42.8,20.1,54.7,42.0,23.4,92.1,23.6,10.7,42.1,14.8,55.9,6.9,60.2,34.1,33.2,11.5,11.1,25.1,24.9,49.0,41.3,16.9,4.1,10.1,UT,Total,Central Zone
1368,Almora,883.0,931.0,76.0,69.7,1259.0,986.0,65.0,26.6,79.7,98.4,41.1,9.1,54.7,57.7,31.7,91.4,35.7,18.7,58.0,29.6,66.3,3.3,60.6,53.4,29.2,11.1,10.6,32.9,24.8,48.6,32.9,26.6,12.6,17.2,UT,Total,Central Zone
1370,Champawat,881.0,996.0,101.0,70.5,1154.0,991.0,59.5,30.4,74.0,87.5,38.3,17.7,59.2,43.7,29.0,95.2,27.3,11.1,50.7,10.8,73.3,2.7,68.4,35.7,32.9,10.6,9.8,30.5,20.6,46.1,35.6,17.7,7.6,12.4,UT,Total,Central Zone
1373,Nainital,1789.0,2170.0,264.0,80.1,1005.0,854.0,73.0,62.8,84.9,94.2,52.2,15.3,44.9,65.7,40.4,91.6,40.9,20.5,59.5,18.4,64.7,10.2,59.0,49.5,29.3,13.4,12.0,32.1,17.2,58.0,38.4,22.0,10.2,17.4,UT,Total,Central Zone
1376,Udham Singh Nagar,1770.0,2245.0,290.0,68.3,941.0,948.0,56.2,52.6,66.0,83.0,36.0,19.6,35.1,46.4,26.6,86.9,16.6,5.8,46.4,14.5,67.5,8.8,47.4,39.5,23.9,9.4,11.3,37.8,19.1,64.6,52.3,10.7,8.2,10.7,UT,Total,Central Zone
1379,Hardwar,1785.0,2321.0,308.0,69.0,929.0,921.0,56.9,46.2,66.5,85.4,29.1,15.4,36.9,42.6,24.2,87.9,19.1,7.6,52.7,16.2,62.8,3.5,55.3,28.3,20.9,3.1,3.5,39.1,20.7,71.1,55.3,13.7,10.5,9.8,UT,Total,Central Zone
1382,Tawang,423.77,371.53,38.53,41.36,1060.14,954.98,54.27,45.59,40.0,57.41,18.42,7.06,21.9,29.46,14.13,39.39,8.55,2.56,9.55,0.54,30.34,4.08,27.8,32.38,48.73,20.2,20.48,20.47,3.33,42.35,24.86,9.43,5.95,21.62,AR,Total,North Eastern Zone
1385,West Kameng,894.44,809.63,112.59,64.59,946.09,1027.48,58.84,56.12,61.77,87.6,25.39,25.9,18.5,58.66,33.28,53.2,6.82,4.15,22.85,2.29,56.98,2.24,24.99,45.41,67.93,20.28,26.07,27.32,7.19,38.72,24.51,13.86,9.44,17.2,AR,Total,North Eastern Zone
