,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),29. Mothers who had antenatal check-up in the first trimester (%),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
919,Mahbubnagar,791.0,757.0,104.0,49.5,1007.0,952.0,32.8,47.1,47.2,73.6,30.9,45.6,64.3,82.1,60.2,89.0,48.4,36.0,70.6,21.0,78.4,5.9,45.0,74.4,34.6,8.5,7.6,37.1,28.3,64.4,50.6,24.7,6.8,5.9,TG,Total,Southern Zone
920,Nalgonda,654.0,587.0,88.0,51.8,960.0,788.0,47.1,56.2,54.3,81.8,30.9,36.7,67.1,77.6,74.8,89.1,33.2,28.1,90.6,43.6,96.0,2.5,72.4,84.0,34.0,4.1,6.4,30.6,27.8,70.8,54.7,43.6,7.9,11.9,TG,Rural,Southern Zone
921,Nalgonda,801.0,723.0,108.0,55.1,988.0,831.0,50.1,60.3,57.6,82.3,34.8,36.8,68.0,77.8,72.8,89.9,36.5,29.3,91.0,46.0,94.8,3.0,69.0,82.2,35.1,3.4,6.9,28.9,24.9,69.1,56.2,44.0,7.6,16.7,TG,Total,Southern Zone
922,Warangal,566.0,526.0,72.0,54.1,1077.0,958.0,35.3,49.3,61.9,84.7,36.6,34.7,48.8,85.2,82.3,92.7,74.0,61.1,90.5,23.4,94.3,0.8,72.4,93.2,38.1,8.5,8.9,26.8,26.9,64.9,56.4,42.5,7.6,7.6,TG,Rural,Southern Zone
923,Warangal,784.0,730.0,110.0,61.4,1043.0,957.0,46.9,60.8,68.9,88.7,43.6,27.7,50.8,85.5,84.7,91.6,70.4,60.7,92.7,21.5,96.0,0.5,67.0,90.3,45.2,6.3,6.5,26.6,24.3,63.0,56.9,34.5,7.3,8.1,TG,Total,Southern Zone
924,Khammam,619.0,609.0,81.0,55.3,1055.0,806.0,41.1,61.9,55.3,79.2,29.6,34.4,69.7,83.4,80.8,96.8,57.2,45.3,81.8,21.7,92.4,4.8,55.8,80.4,46.0,6.9,10.7,30.1,23.8,70.7,72.3,39.3,6.5,10.9,TG,Rural,Southern Zone
925,Khammam,806.0,778.0,109.0,59.8,1036.0,978.0,50.3,70.0,60.2,82.7,36.0,30.9,69.1,83.9,79.2,94.3,56.4,45.1,85.4,21.7,94.2,3.6,62.4,81.8,49.5,13.5,14.4,26.5,20.2,72.2,71.2,37.3,6.2,10.2,TG,Total,Southern Zone
927,Panchkula,418.0,505.0,77.0,70.8,829.0,835.0,70.5,44.3,79.0,98.8,47.2,11.2,77.1,72.9,71.6,98.3,48.8,44.4,82.2,40.5,98.7,1.3,96.6,73.5,40.1,10.1,10.8,26.1,11.7,78.0,57.3,57.0,16.6,45.6,HR,Rural,Northern Zone
928,Panchkula,836.0,953.0,148.0,79.4,780.0,751.0,86.9,77.3,85.7,95.9,67.0,9.6,77.4,86.7,81.5,98.1,51.9,47.8,73.5,36.2,96.5,1.5,96.9,75.3,45.0,6.4,6.2,21.5,6.8,66.4,55.4,63.0,22.1,41.6,HR,Total,Northern Zone
930,Ambala,418.0,531.0,80.0,75.6,831.0,773.0,85.6,48.9,85.8,96.0,54.5,6.9,75.7,74.9,61.6,100.0,48.9,40.5,64.2,19.2,95.0,1.5,95.7,78.0,57.4,15.2,13.5,24.5,13.5,66.2,70.0,57.3,17.9,29.1,HR,Rural,Northern Zone
931,Ambala,834.0,1062.0,152.0,81.9,846.0,730.0,89.9,67.8,90.0,96.5,64.2,7.2,76.3,78.2,64.7,100.0,48.2,40.2,72.8,16.0,96.1,1.5,97.4,79.4,56.2,12.7,12.5,19.8,11.1,75.1,68.6,55.7,18.1,38.3,HR,Total,Northern Zone
934,Yamunanagar,836.0,1096.0,164.0,76.3,867.0,616.0,80.2,61.6,84.3,94.7,50.5,6.9,66.0,90.5,75.4,97.7,61.5,49.8,86.1,31.4,94.4,3.0,87.9,54.3,42.9,12.5,12.4,30.0,16.2,58.0,57.1,45.2,23.2,28.7,HR,Total,Northern Zone
935,Kurukshetra,594.0,730.0,115.0,70.0,904.0,837.0,84.0,49.5,79.0,92.4,42.4,12.3,71.5,74.4,62.0,93.5,32.6,15.2,82.2,46.0,92.4,3.6,91.3,83.2,43.1,7.0,10.8,32.4,10.7,63.9,55.8,46.1,29.0,58.9,HR,Rural,Northern Zone
936,Kurukshetra,837.0,1010.0,160.0,71.4,892.0,823.0,86.0,59.1,80.4,92.0,49.5,9.9,69.9,74.5,65.0,94.7,39.6,22.4,81.2,39.5,91.7,3.5,88.2,82.2,43.3,9.1,11.0,31.9,9.2,63.4,54.6,47.7,31.6,58.5,HR,Total,Northern Zone
937,Kaithal,660.0,796.0,107.0,62.6,891.0,840.0,74.9,29.8,70.6,82.4,35.9,20.6,74.3,81.6,54.9,95.9,54.9,28.8,78.4,19.7,83.1,6.5,89.2,84.7,48.1,5.7,4.7,35.8,16.4,69.7,60.6,54.1,8.1,22.4,HR,Rural,Northern Zone
938,Kaithal,836.0,1007.0,145.0,64.9,889.0,949.0,78.0,41.1,73.1,84.9,40.8,16.8,72.0,78.6,61.0,95.1,54.9,33.9,81.5,23.5,83.6,5.4,90.5,82.7,49.7,7.8,6.3,33.6,15.3,68.0,59.8,56.6,9.0,29.2,HR,Total,Northern Zone
939,Karnal,418.0,470.0,76.0,81.9,869.0,720.0,93.3,86.9,87.3,93.8,66.2,8.7,72.7,78.3,65.3,96.3,57.0,39.2,81.6,26.3,92.9,2.9,86.7,78.2,45.1,0.0,0.0,34.6,7.9,62.9,58.4,53.4,19.3,34.0,HR,Urban,Northern Zone
940,Karnal,418.0,520.0,86.0,68.9,886.0,948.0,84.7,38.8,74.4,84.0,37.8,8.3,72.9,81.0,62.2,98.9,58.1,39.7,86.6,24.4,92.7,4.8,92.5,83.4,56.9,7.3,9.8,43.5,15.1,80.4,70.9,59.2,16.3,37.3,HR,Rural,Northern Zone
941,Karnal,836.0,990.0,162.0,73.1,881.0,880.0,87.5,54.7,78.4,86.5,46.6,8.4,72.8,80.2,63.1,98.1,57.8,39.6,85.2,24.9,92.7,4.3,91.0,81.9,54.2,5.3,7.1,41.0,12.9,75.5,67.0,57.4,17.2,36.2,HR,Total,Northern Zone
942,Panipat,417.0,508.0,69.0,78.3,844.0,810.0,90.2,88.9,77.8,90.3,56.0,13.4,71.1,77.9,53.4,98.3,33.4,19.2,59.9,20.9,79.7,12.5,63.9,74.1,11.9,2.7,8.4,48.7,9.1,70.5,64.1,39.3,27.5,24.3,HR,Urban,Northern Zone
944,Panipat,834.0,954.0,149.0,74.8,846.0,918.0,91.0,63.6,78.6,93.0,54.0,15.1,68.9,72.6,40.3,98.7,31.7,16.1,66.5,17.7,78.2,10.4,68.4,71.3,15.4,1.4,4.7,44.6,10.4,65.5,66.2,37.4,24.8,21.3,HR,Total,Northern Zone
945,Sonipat,418.0,486.0,91.0,79.2,853.0,897.0,80.8,80.6,84.5,96.7,59.3,19.0,66.5,71.4,33.6,97.3,39.1,11.5,66.9,13.3,81.0,12.2,48.6,73.1,16.5,0.0,2.8,52.5,15.1,54.3,57.9,29.5,21.5,25.1,HR,Urban,Northern Zone
946,Sonipat,418.0,530.0,94.0,71.8,818.0,836.0,79.4,30.9,80.8,90.4,51.9,21.1,68.5,73.5,40.9,97.8,25.8,14.7,78.7,24.7,84.9,4.4,72.4,84.3,30.3,6.0,5.4,34.6,13.7,60.7,70.7,30.7,19.2,26.9,HR,Rural,Northern Zone
