,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
300,Thane,531.0,543.0,97.0,high,low,low,high,high,high,high,high,medium,low,high,high,medium,high,low,medium,high,medium,low,low,medium,low,medium,medium,high,medium,low,MH,Urban,Western Zone
301,Thane,712.0,763.0,136.0,high,low,low,high,medium,high,high,high,medium,low,high,high,medium,high,low,medium,medium,medium,low,low,medium,medium,medium,medium,medium,medium,low,MH,Total,Western Zone
302,Mumbai Suburban,668.0,673.0,100.0,high,low,medium,high,low,high,high,high,medium,low,high,high,medium,high,low,medium,high,medium,medium,low,low,low,high,medium,medium,medium,medium,MH,Urban,Western Zone
303,Mumbai Suburban,668.0,673.0,100.0,high,low,medium,high,low,high,high,high,medium,low,high,high,medium,high,low,medium,high,medium,medium,low,low,low,high,medium,medium,medium,medium,MH,Total,Western Zone
304,Mumbai,649.0,608.0,62.0,high,low,medium,high,medium,high,high,high,medium,low,medium,high,medium,high,low,medium,high,medium,low,low,low,low,high,medium,medium,medium,low,MH,Urban,Western Zone
305,Mumbai,649.0,608.0,62.0,high,low,medium,high,medium,high,high,high,medium,low,medium,high,medium,high,low,medium,high,medium,low,low,low,low,high,medium,medium,medium,low,MH,Total,Western Zone
307,Raigarh,385.0,404.0,54.0,medium,medium,low,high,medium,medium,high,high,medium,medium,high,medium,medium,high,low,medium,high,medium,low,low,medium,medium,medium,high,medium,low,low,MH,Rural,Western Zone
308,Raigarh,721.0,759.0,117.0,high,low,low,high,high,high,high,high,medium,low,high,high,medium,high,low,medium,high,medium,low,low,low,medium,medium,medium,medium,low,low,MH,Total,Western Zone
310,Pune,380.0,398.0,79.0,medium,low,low,high,medium,medium,high,high,medium,medium,high,high,high,high,low,high,medium,high,low,low,low,medium,medium,medium,medium,low,low,MH,Rural,Western Zone
311,Pune,709.0,742.0,131.0,high,low,medium,high,medium,high,high,high,medium,medium,high,high,medium,high,low,high,medium,medium,low,low,low,low,medium,medium,medium,low,low,MH,Total,Western Zone
