,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
1359,Dehradun,915.0,1051.0,117.0,0.743,0.968,0.866,0.74,0.675,0.794,0.9009999999999999,0.522,0.10400000000000001,0.5329999999999999,0.512,0.32899999999999996,0.8170000000000001,0.036000000000000004,0.696,0.36200000000000004,0.315,0.146,0.132,0.32899999999999996,0.13,0.508,0.441,0.22899999999999998,0.079,0.171,UT,Rural,Central Zone
1361,Garhwal,731.0,773.0,97.0,0.73,1.249,0.756,0.634,0.254,0.862,0.98,0.484,0.06,0.609,0.331,0.258,0.723,0.013000000000000001,0.608,0.424,0.247,0.016,0.027999999999999997,0.22899999999999998,0.184,0.578,0.43799999999999994,0.102,0.061,0.109,UT,Rural,Central Zone
1363,Pithoragarh,764.0,705.0,68.0,0.6809999999999999,1.075,0.791,0.608,0.24600000000000002,0.757,0.897,0.325,0.336,0.6629999999999999,0.231,0.267,0.6890000000000001,0.026000000000000002,0.6920000000000001,0.46,0.25,0.136,0.131,0.316,0.149,0.418,0.353,0.28600000000000003,0.073,0.129,UT,Rural,Central Zone
1365,Bageshwar,885.0,1028.0,100.0,0.726,1.143,0.874,0.665,0.198,0.79,0.9359999999999999,0.419,0.204,0.547,0.22699999999999998,0.242,0.56,0.068,0.611,0.33,0.324,0.11699999999999999,0.113,0.252,0.251,0.491,0.41700000000000004,0.163,0.040999999999999995,0.10099999999999999,UT,Rural,Central Zone
1367,Almora,785.0,844.0,61.0,0.68,1.302,1.014,0.629,0.2,0.784,0.98,0.385,0.098,0.539,0.284,0.341,0.64,0.036000000000000004,0.586,0.537,0.299,0.094,0.091,0.34299999999999997,0.252,0.48200000000000004,0.327,0.243,0.11699999999999999,0.166,UT,Rural,Central Zone
1369,Champawat,737.0,827.0,64.0,0.688,1.201,1.022,0.579,0.23,0.727,0.866,0.348,0.171,0.604,0.261,0.243,0.7190000000000001,0.02,0.684,0.336,0.33,0.10300000000000001,0.098,0.314,0.21899999999999997,0.426,0.33799999999999997,0.177,0.07200000000000001,0.11599999999999999,UT,Rural,Central Zone
1371,Nainital,875.0,1061.0,126.0,0.831,0.9460000000000001,0.8160000000000001,0.8059999999999999,0.887,0.875,0.937,0.591,0.129,0.46299999999999997,0.534,0.49200000000000005,0.8190000000000001,0.069,0.6729999999999999,0.561,0.259,0.217,0.195,0.295,0.15,0.616,0.397,0.27699999999999997,0.12,0.212,UT,Urban,Central Zone
1372,Nainital,914.0,1109.0,138.0,0.7809999999999999,1.049,0.877,0.6709999999999999,0.429,0.83,0.9470000000000001,0.47100000000000003,0.17,0.439,0.318,0.354,0.5429999999999999,0.122,0.537,0.456,0.313,0.078,0.069,0.337,0.18899999999999997,0.5579999999999999,0.373,0.17800000000000002,0.08800000000000001,0.145,UT,Rural,Central Zone
1374,Udham Singh Nagar,868.0,1092.0,142.0,0.74,0.8789999999999999,0.943,0.632,0.792,0.6970000000000001,0.8170000000000001,0.435,0.23,0.366,0.332,0.152,0.7190000000000001,0.079,0.513,0.376,0.207,0.133,0.177,0.39299999999999996,0.154,0.665,0.474,0.135,0.087,0.13,UT,Urban,Central Zone
1375,Udham Singh Nagar,902.0,1153.0,148.0,0.649,0.983,0.951,0.516,0.348,0.636,0.84,0.311,0.175,0.341,0.221,0.175,0.645,0.095,0.441,0.408,0.262,0.068,0.066,0.368,0.215,0.635,0.5539999999999999,0.08900000000000001,0.078,0.09300000000000001,UT,Rural,Central Zone
