,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
374,Agra,824.26,1095.37,164.08,0.7452,0.90973,0.90396,0.6271,0.7712,0.7248,0.8297,0.4815,0.11710000000000001,0.4363,0.5682,0.223,0.8579000000000001,0.0058,0.5809000000000001,0.33640000000000003,0.19039999999999999,0.0775,0.0775,0.3975,0.1458,0.45409999999999995,0.3932,0.1679,0.0388,0.1025,UP,Urban,Central Zone
375,Agra,785.6,1062.51,155.95,0.6042000000000001,0.97195,1.06023,0.2184,0.1477,0.5326,0.8981999999999999,0.24670000000000003,0.3077,0.4014,0.2133,0.0644,0.7362000000000001,0.022799999999999997,0.6303,0.3455,0.1827,0.0,0.012,0.48229999999999995,0.2434,0.5624,0.4696,0.15789999999999998,0.0562,0.0499,UP,Rural,Central Zone
377,Firozabad,322.01,473.44,77.92,0.6929000000000001,0.9699500000000001,0.87166,0.6446999999999999,0.7826000000000001,0.6955,0.7926000000000001,0.3872,0.1343,0.3054,0.36060000000000003,0.096,0.6529,0.0626,0.6345000000000001,0.3567,0.1409,0.0472,0.051500000000000004,0.4424,0.18960000000000002,0.5011,0.3614,0.1142,0.0567,0.06849999999999999,UP,Urban,Central Zone
378,Firozabad,587.68,736.3,99.64,0.6611,0.9552400000000001,0.8380700000000001,0.1668,0.1334,0.6113000000000001,0.7881,0.2824,0.2804,0.2928,0.18739999999999998,0.0646,0.6797,0.015300000000000001,0.561,0.3688,0.2519,0.0088,0.0146,0.4384,0.2368,0.4568,0.32770000000000005,0.0809,0.0278,0.0383,UP,Rural,Central Zone
381,Mainpuri,568.84,711.02,101.66,0.7178,0.9889800000000001,0.85516,0.2116,0.1516,0.7206999999999999,0.9007999999999999,0.35450000000000004,0.18600000000000003,0.2444,0.1139,0.06709999999999999,0.5979,0.0487,0.5732,0.37229999999999996,0.3222,0.0297,0.0364,0.46140000000000003,0.2231,0.4133,0.2667,0.0934,0.0248,0.0438,UP,Rural,Central Zone
384,Budaun,1093.11,1289.01,174.84,0.4643,0.94808,0.9246699999999999,0.19030000000000002,0.0723,0.30820000000000003,0.6559999999999999,0.0758,0.4052,0.142,0.0729,0.0781,0.5870000000000001,0.015700000000000002,0.4986,0.312,0.2107,0.0467,0.0479,0.5798,0.3529,0.5760000000000001,0.4807,0.0683,0.0248,0.0346,UP,Rural,Central Zone
386,Bareilly,711.71,954.77,122.64,0.6026,0.98064,1.10914,0.6861,0.7804000000000001,0.6079,0.8108,0.3506,0.0565,0.4257,0.5549000000000001,0.156,0.6299,0.0533,0.5526,0.1961,0.1189,0.0337,0.0392,0.41009999999999996,0.2024,0.7341,0.5065999999999999,0.1426,0.0475,0.0947,UP,Urban,Central Zone
387,Bareilly,1068.26,1384.9,175.16,0.516,0.97827,1.05276,0.4483,0.2145,0.40009999999999996,0.6920000000000001,0.153,0.1845,0.3796,0.401,0.0604,0.5811,0.0202,0.4515,0.1568,0.1941,0.062,0.0567,0.4794,0.2901,0.7479,0.561,0.10439999999999999,0.027999999999999997,0.0898,UP,Rural,Central Zone
390,Pilibhit,646.15,789.95,113.97,0.545,0.92653,0.9108700000000001,0.3103,0.1769,0.4876,0.736,0.2011,0.16670000000000001,0.39189999999999997,0.385,0.1661,0.6218,0.0564,0.7017,0.2213,0.2261,0.0466,0.0414,0.5257000000000001,0.3125,0.7845,0.58,0.12789999999999999,0.0269,0.1038,UP,Rural,Central Zone
393,Shahjahanpur,956.18,1076.81,158.71,0.5767,0.93606,0.9430399999999999,0.2321,0.1192,0.4731,0.6685,0.17420000000000002,0.33030000000000004,0.2591,0.1855,0.1057,0.498,0.0189,0.6811,0.29,0.17800000000000002,0.0889,0.0794,0.5059,0.3231,0.7703,0.6183,0.0824,0.0206,0.026600000000000002,UP,Rural,Central Zone
396,Kheri,1458.8,1702.57,234.41,0.5581,0.94091,0.84921,0.18420000000000003,0.1166,0.4326,0.7664,0.13699999999999998,0.3483,0.2556,0.1367,0.12359999999999999,0.5496,0.0638,0.514,0.3815,0.2535,0.081,0.0789,0.5493,0.3685,0.49729999999999996,0.4435,0.0555,0.0194,0.0239,UP,Rural,Central Zone
399,Sitapur,1577.5,1709.33,234.39,0.5681,0.89391,0.67722,0.09359999999999999,0.1185,0.4654,0.726,0.1642,0.3554,0.3147,0.0934,0.048600000000000004,0.6798000000000001,0.0335,0.4647,0.4526,0.34009999999999996,0.018600000000000002,0.0166,0.5737,0.3843,0.5334,0.39549999999999996,0.24850000000000003,0.1012,0.0301,UP,Rural,Central Zone
402,Hardoi,1410.5,1533.0,210.59,0.5783,0.9247,0.7702899999999999,0.18489999999999998,0.1411,0.4891,0.7222,0.18789999999999998,0.2322,0.1997,0.10339999999999999,0.1362,0.6338,0.0519,0.3472,0.5989,0.2482,0.0,0.0,0.5293,0.32630000000000003,0.4339,0.33640000000000003,0.0784,0.049699999999999994,0.06280000000000001,UP,Rural,Central Zone
405,Unnao,1076.47,1300.93,163.36,0.6225999999999999,1.02308,0.9228099999999999,0.213,0.1427,0.5753,0.6865000000000001,0.2407,0.1402,0.2561,0.0971,0.044199999999999996,0.6725,0.0199,0.5657,0.436,0.32549999999999996,0.0297,0.0362,0.4803,0.2787,0.42460000000000003,0.3578,0.188,0.07,0.0242,UP,Rural,Central Zone
407,Lucknow,1262.17,1500.71,212.79,0.8388,0.9284500000000001,0.8276,0.8563,0.9529000000000001,0.8534,0.9076000000000001,0.6620999999999999,0.0621,0.4056,0.5607,0.22329999999999997,0.9086,0.0165,0.5635,0.3664,0.19190000000000002,0.0001,0.016399999999999998,0.3201,0.11539999999999999,0.6770999999999999,0.5768,0.10339999999999999,0.0334,0.036699999999999997,UP,Urban,Central Zone
408,Lucknow,615.83,693.23,98.28,0.6545000000000001,0.9007400000000001,0.93,0.2838,0.3689,0.6643000000000001,0.7936,0.3486,0.1594,0.361,0.449,0.1376,0.8445,0.011399999999999999,0.6131,0.3569,0.2638,0.0748,0.062400000000000004,0.4375,0.2163,0.7725,0.5975,0.08449999999999999,0.027000000000000003,0.034300000000000004,UP,Rural,Central Zone
411,Rae Bareli,1289.06,1571.1,215.44,0.6221,1.05449,0.9398899999999999,0.1423,0.18,0.6034,0.8747,0.2833,0.13019999999999998,0.2066,0.2347,0.2,0.8283,0.005699999999999999,0.6577,0.4199,0.3675,0.0443,0.0458,0.361,0.261,0.6017,0.4583,0.0382,0.0125,0.021400000000000002,UP,Rural,Central Zone
414,Farrukhabad,518.22,671.96,84.26,0.6785,1.01282,1.13498,0.21239999999999998,0.1069,0.6346,0.9020999999999999,0.2597,0.2525,0.2045,0.1267,0.0552,0.5,0.0131,0.3739,0.2528,0.21239999999999998,0.0681,0.057699999999999994,0.5124,0.24,0.3619,0.2647,0.0604,0.0297,0.055,UP,Rural,Central Zone
417,Kannauj,500.68,614.64,79.21,0.6659,0.9756199999999999,1.06456,0.1518,0.1116,0.6004999999999999,0.8108,0.2698,0.18780000000000002,0.1898,0.09759999999999999,0.1015,0.6281,0.0209,0.48450000000000004,0.3625,0.28559999999999997,0.0113,0.0087,0.5186,0.2408,0.40909999999999996,0.24600000000000002,0.0971,0.0373,0.0466,UP,Rural,Central Zone
420,Etawah,435.52,531.51,77.45,0.7005,0.9159900000000001,0.7825399999999999,0.1748,0.13470000000000001,0.7165,0.8805,0.3419,0.2434,0.2548,0.2234,0.077,0.7532,0.0103,0.6107,0.3251,0.1839,0.0342,0.0302,0.5388000000000001,0.23399999999999999,0.3908,0.2658,0.0867,0.0358,0.0652,UP,Rural,Central Zone
423,Auraiya,452.97,489.97,66.44,0.6908,0.9450700000000001,0.84476,0.2916,0.1916,0.6962,0.8420000000000001,0.3639,0.20929999999999999,0.2767,0.1284,0.0298,0.6877,0.047,0.3846,0.4457,0.31989999999999996,0.0218,0.0301,0.4404,0.24100000000000002,0.8106,0.6612,0.0702,0.0281,0.032,UP,Rural,Central Zone
426,Kanpur Dehat,664.82,706.12,121.85,0.6574,0.87866,1.04879,0.2521,0.1219,0.6696,0.8986,0.3552,0.1986,0.2441,0.06480000000000001,0.0647,0.7261,0.0218,0.6271,0.5387,0.3602,0.0583,0.050300000000000004,0.4617,0.276,0.6506000000000001,0.6313,0.2329,0.0496,0.0206,UP,Rural,Central Zone
428,Kanpur Nagar,1687.0,1848.93,258.26,0.8215,0.8760199999999999,0.85411,0.7872,0.9190999999999999,0.8622,0.8490000000000001,0.6757,0.0529,0.4277,0.45649999999999996,0.3396,0.7773,0.0431,0.3588,0.3295,0.3337,0.0125,0.0329,0.4349,0.12539999999999998,0.7426999999999999,0.5732,0.15039999999999998,0.0317,0.0397,UP,Urban,Central Zone
429,Kanpur Nagar,690.19,732.59,110.48,0.6957,0.9206300000000001,1.11404,0.3212,0.1906,0.7216,0.8531,0.39640000000000003,0.142,0.3165,0.18239999999999998,0.1164,0.7422,0.0199,0.7282,0.2352,0.3387,0.0337,0.0346,0.4376,0.20620000000000002,0.7248,0.623,0.1272,0.0227,0.0321,UP,Rural,Central Zone
432,Jalaun,463.69,498.27,70.43,0.6129,0.9380900000000001,0.7090700000000001,0.3444,0.1119,0.6516,0.8731,0.3177,0.2902,0.447,0.1168,0.0775,0.8286,0.0212,0.596,0.3739,0.37579999999999997,0.0,0.0,0.47509999999999997,0.26489999999999997,0.8534,0.6139,0.031200000000000002,0.023700000000000002,0.0331,UP,Rural,Central Zone
434,Jhansi,346.61,418.23,67.66,0.7506,0.9297000000000001,0.7788099999999999,0.7401000000000001,0.8367,0.7898999999999999,0.9109,0.5379,0.0895,0.47119999999999995,0.5575,0.0828,0.8776,0.0262,0.6,0.4929,0.28859999999999997,0.11630000000000001,0.11,0.2796,0.16329999999999997,0.7293000000000001,0.5129,0.2225,0.0384,0.0325,UP,Urban,Central Zone
435,Jhansi,472.58,505.76,58.47,0.5697,0.9579000000000001,0.8389599999999999,0.253,0.0942,0.5884,0.8089,0.2273,0.3293,0.6051,0.27149999999999996,0.05,0.8251999999999999,0.0191,0.6448999999999999,0.446,0.3909,0.10339999999999999,0.111,0.4133,0.3023,0.809,0.5826,0.25780000000000003,0.0395,0.0316,UP,Rural,Central Zone
438,Lalitpur,433.42,450.23,70.8,0.5581,0.93017,0.9465499999999999,0.125,0.063,0.4928,0.8251999999999999,0.1777,0.6106,0.6004,0.2046,0.1272,0.8364,0.0103,0.5576,0.5486,0.425,0.0487,0.0443,0.4183,0.2786,0.7658,0.4975,0.2368,0.0493,0.0063,UP,Rural,Central Zone
441,Hamirpur,377.58,376.71,50.67,0.5718,0.9340499999999998,0.90195,0.375,0.0603,0.5975,0.8511,0.24350000000000002,0.1963,0.3998,0.2122,0.17059999999999997,0.8416,0.0301,0.5064,0.6214999999999999,0.3811,0.0321,0.0269,0.40950000000000003,0.3257,0.5826,0.54,0.0791,0.0207,0.025699999999999997,UP,Rural,Central Zone
444,Mahoba,258.45,283.99,30.43,0.5707,0.96315,0.93638,0.2711,0.050300000000000004,0.5623,0.7661,0.2202,0.2797,0.4849,0.2341,0.07200000000000001,0.8844,0.023799999999999998,0.6998000000000001,0.43310000000000004,0.4301,0.0412,0.037000000000000005,0.4779,0.37270000000000003,0.7781,0.6378,0.2814,0.0435,0.0213,UP,Rural,Central Zone
447,Banda,593.39,535.14,74.43,0.5703,0.88543,0.79589,0.1991,0.0611,0.5804,0.8255,0.2116,0.2036,0.3037,0.0453,0.0662,0.7381,0.0113,0.4021,0.2245,0.39020000000000005,0.0334,0.0265,0.4685,0.2514,0.6426000000000001,0.5413,0.1331,0.0231,0.049100000000000005,UP,Rural,Central Zone
450,Chitrakoot,344.78,399.55,45.75,0.562,1.01867,0.8961599999999998,0.11359999999999999,0.0576,0.493,0.7731,0.1932,0.3268,0.40009999999999996,0.17550000000000002,0.1757,0.7533,0.0227,0.6934,0.46490000000000004,0.35719999999999996,0.1464,0.1594,0.5065,0.36119999999999997,0.7254,0.6794,0.0394,0.024,0.03,UP,Rural,Central Zone
453,Fatehpur,961.93,1005.57,143.51,0.5755,1.02173,0.827,0.21739999999999998,0.1223,0.5976,0.7817000000000001,0.314,0.1371,0.191,0.09789999999999999,0.05,0.6709999999999999,0.0124,0.5193,0.3746,0.22760000000000002,0.0435,0.0492,0.5171,0.3144,0.42,0.4017,0.15460000000000002,0.0291,0.061799999999999994,UP,Rural,Central Zone
456,Pratapgarh,1091.38,1479.68,144.79,0.6135,1.13041,0.89914,0.122,0.19149999999999998,0.6258,0.8736,0.34159999999999996,0.12050000000000001,0.2698,0.1766,0.1673,0.7667,0.0482,0.4844,0.48729999999999996,0.26530000000000004,0.023700000000000002,0.019299999999999998,0.4213,0.2944,0.6122,0.5094,0.1371,0.0429,0.0591,UP,Rural,Central Zone
459,Kaushambi,534.98,629.11,75.02,0.5053,1.0332599999999998,0.98614,0.1618,0.1552,0.4385,0.8018000000000001,0.2022,0.1747,0.2502,0.1144,0.0969,0.7301000000000001,0.0297,0.37310000000000004,0.41490000000000005,0.27649999999999997,0.0,0.0,0.49570000000000003,0.34119999999999995,0.6624,0.5753,0.1311,0.0229,0.042699999999999995,UP,Rural,Central Zone
462,Allahabad,1534.79,2092.24,235.16,0.5937,1.04975,0.9182,0.1691,0.1844,0.6,0.7454999999999999,0.3714,0.2047,0.3024,0.207,0.1895,0.7147,0.0395,0.3995,0.5677,0.3703,0.048600000000000004,0.0425,0.4836,0.2368,0.617,0.5627,0.177,0.0542,0.09570000000000001,UP,Rural,Central Zone
465,Bara Banki,1161.48,1276.37,162.01,0.5849,1.02446,1.0381300000000002,0.1258,0.1955,0.5249,0.6295000000000001,0.2297,0.2501,0.2002,0.19760000000000003,0.08789999999999999,0.6123,0.0252,0.41759999999999997,0.431,0.32939999999999997,0.0407,0.0379,0.5404,0.30820000000000003,0.4254,0.37270000000000003,0.20879999999999999,0.044000000000000004,0.06559999999999999,UP,Rural,Central Zone
468,Faizabad,760.12,1005.0,116.12,0.6365,1.08339,0.90327,0.1832,0.1691,0.6281,0.82,0.3542,0.2731,0.2389,0.1883,0.0641,0.8069,0.0206,0.5489999999999999,0.4152,0.271,0.0103,0.0091,0.5164,0.3106,0.6282,0.6065,0.12300000000000001,0.0616,0.0745,UP,Rural,Central Zone
471,Ambedkar Nagar,703.65,1065.64,130.43,0.6612,1.08563,0.767,0.1628,0.1133,0.6903,0.9014,0.4302,0.1364,0.2,0.3556,0.1343,0.8342,0.0199,0.6178,0.40850000000000003,0.3043,0.07490000000000001,0.0693,0.4473,0.3104,0.6214999999999999,0.5506,0.09630000000000001,0.032799999999999996,0.1476,UP,Rural,Central Zone
474,Sultanpur,1234.37,1598.9,179.28,0.6002000000000001,1.095,0.8177300000000001,0.1278,0.11720000000000001,0.5913,0.802,0.31,0.22829999999999998,0.2273,0.22010000000000002,0.096,0.7271,0.0226,0.5113,0.4612,0.3312,0.028999999999999998,0.0334,0.46909999999999996,0.3122,0.6652,0.5781000000000001,0.146,0.052300000000000006,0.0463,UP,Rural,Central Zone
477,Bahraich,1211.48,1350.22,171.65,0.4414,0.9898,1.01949,0.10099999999999999,0.1143,0.3152,0.7181000000000001,0.1438,0.42090000000000005,0.0913,0.04019999999999999,0.0533,0.3675,0.07440000000000001,0.0898,0.1941,0.22690000000000002,0.0418,0.041100000000000005,0.6541,0.3583,0.7262000000000001,0.5142,0.044199999999999996,0.0351,0.0557,UP,Rural,Central Zone
480,Shrawasti,399.56,458.97,46.63,0.4177,1.0316500000000002,0.9177799999999999,0.085,0.0723,0.3097,0.5343,0.0786,0.7061,0.0682,0.079,0.0222,0.479,0.0839,0.1636,0.2903,0.1834,0.08560000000000001,0.08130000000000001,0.6335000000000001,0.2491,0.6914,0.4819,0.0757,0.0398,0.0842,UP,Rural,Central Zone
483,Balrampur,655.3,918.12,87.69,0.44920000000000004,1.0966,0.87219,0.09630000000000001,0.0633,0.34869999999999995,0.7458,0.1075,0.4409,0.023799999999999998,0.0999,0.057300000000000004,0.3091,0.1144,0.0663,0.3419,0.2925,0.061,0.0611,0.6409,0.2846,0.7271,0.5631,0.0405,0.036000000000000004,0.08900000000000001,UP,Rural,Central Zone
486,Gonda,1045.33,1456.98,164.43,0.5346,1.0649700000000002,1.02589,0.0726,0.1447,0.4412,0.7339,0.1906,0.5114,0.11599999999999999,0.1288,0.0537,0.546,0.0482,0.3803,0.4094,0.1434,0.062400000000000004,0.0672,0.5769,0.29760000000000003,0.7251000000000001,0.5357999999999999,0.0809,0.03,0.0475,UP,Rural,Central Zone
489,Siddharthnagar,744.23,1035.6,107.45,0.5519,1.1260999999999999,0.8843099999999999,0.1213,0.1537,0.4568,0.8131999999999999,0.1625,0.5095000000000001,0.1674,0.1399,0.1091,0.44229999999999997,0.0335,0.3651,0.44939999999999997,0.1912,0.0141,0.0195,0.5865,0.28309999999999996,0.6559999999999999,0.5633,0.0779,0.0623,0.0621,UP,Rural,Central Zone
492,Basti,811.29,1127.67,110.4,0.5859000000000001,1.1069900000000001,0.8885,0.1191,0.1448,0.5661,0.7868999999999999,0.2823,0.3035,0.14279999999999998,0.184,0.0509,0.7321,0.039,0.5795,0.5554,0.22769999999999999,0.0232,0.0279,0.4878,0.25429999999999997,0.7082999999999999,0.5548,0.1316,0.0339,0.0533,UP,Rural,Central Zone
495,Sant Kabir Nagar,523.67,785.46,68.52,0.5727,1.14691,0.8758099999999999,0.1189,0.1516,0.5477000000000001,0.7970999999999999,0.2737,0.3379,0.1631,0.2977,0.0512,0.6862,0.0565,0.4288,0.4512,0.2766,0.07150000000000001,0.078,0.4982,0.2683,0.6995,0.5074000000000001,0.1188,0.0366,0.1325,UP,Rural,Central Zone
498,Mahrajganj,913.34,1351.92,119.78,0.531,1.09738,0.9045099999999999,0.1696,0.1481,0.4593,0.8020999999999999,0.1909,0.5042,0.25730000000000003,0.25379999999999997,0.21530000000000002,0.6288,0.0429,0.4432,0.6177,0.354,0.0699,0.0662,0.5382,0.2937,0.597,0.4863,0.1404,0.060700000000000004,0.1121,UP,Rural,Central Zone
501,Gorakhpur,1221.07,1667.51,197.57,0.6354,1.12793,0.9555199999999999,0.21660000000000001,0.2527,0.6086,0.8543000000000001,0.3122,0.2832,0.34759999999999996,0.32549999999999996,0.1373,0.7733,0.0123,0.6638,0.5534,0.3508,0.0364,0.0429,0.44630000000000003,0.2275,0.6225,0.495,0.1716,0.0935,0.1412,UP,Rural,Central Zone
504,Kushinagar,1164.92,1766.49,160.18,0.575,1.1078299999999999,0.8479099999999999,0.1902,0.2072,0.5490999999999999,0.8531,0.23829999999999998,0.3164,0.2695,0.2463,0.22210000000000002,0.6968000000000001,0.0537,0.42710000000000004,0.6225,0.2811,0.0556,0.0638,0.4569,0.285,0.5937,0.5161,0.1509,0.0368,0.0962,UP,Rural,Central Zone
507,Deoria,929.13,1326.93,130.53,0.6214999999999999,1.15975,0.98734,0.1844,0.25429999999999997,0.6174000000000001,0.9293,0.36469999999999997,0.2432,0.2742,0.2353,0.1654,0.8159000000000001,0.0529,0.6711,0.5671,0.2144,0.0213,0.0187,0.42119999999999996,0.25079999999999997,0.6834,0.5720000000000001,0.1591,0.0706,0.0803,UP,Rural,Central Zone
510,Azamgarh,1302.88,1884.91,198.79,0.6522,1.1281400000000001,0.94366,0.1764,0.1441,0.6767,0.8418000000000001,0.4249,0.1272,0.2545,0.1999,0.0857,0.8320000000000001,0.022400000000000003,0.2943,0.3973,0.2482,0.046,0.0513,0.4133,0.276,0.626,0.5809000000000001,0.1401,0.0882,0.1225,UP,Rural,Central Zone
513,Mau,549.15,843.08,100.92,0.6557999999999999,1.12043,0.8445599999999999,0.2253,0.15789999999999998,0.6875,0.8674,0.4338,0.11960000000000001,0.21660000000000001,0.4314,0.078,0.8420000000000001,0.0478,0.5196000000000001,0.3115,0.2289,0.1097,0.1061,0.391,0.24170000000000003,0.6204,0.5285,0.09949999999999999,0.0379,0.1268,UP,Rural,Central Zone
516,Ballia,974.25,1446.63,165.85,0.6249,1.0793399999999997,0.9026500000000001,0.20980000000000001,0.1929,0.6306,0.9365000000000001,0.34909999999999997,0.2157,0.2492,0.3654,0.09359999999999999,0.726,0.0729,0.4265,0.3014,0.2368,0.1001,0.1096,0.39840000000000003,0.2101,0.5981000000000001,0.49200000000000005,0.10099999999999999,0.0375,0.13019999999999998,UP,Rural,Central Zone
519,Jaunpur,1304.64,1912.74,200.76,0.6247,1.1261400000000001,0.85929,0.21660000000000001,0.1801,0.6731,0.9168999999999999,0.3994,0.1906,0.2696,0.2829,0.16670000000000001,0.7256,0.0371,0.54,0.4129,0.2528,0.0729,0.0645,0.4877,0.29359999999999997,0.5801,0.508,0.1348,0.033,0.1025,UP,Rural,Central Zone
522,Ghazipur,1094.23,1496.92,193.51,0.6142,1.11757,1.0511,0.1525,0.1065,0.6338,0.8948,0.3907,0.2664,0.273,0.16219999999999998,0.07980000000000001,0.7433,0.023799999999999998,0.402,0.47600000000000003,0.2816,0.0313,0.028300000000000002,0.4174,0.2833,0.6877,0.6127,0.1507,0.0672,0.0576,UP,Rural,Central Zone
525,Chandauli,589.84,870.32,134.36,0.6445000000000001,1.03934,0.90051,0.209,0.13470000000000001,0.6248,0.8673000000000001,0.3736,0.3747,0.34909999999999997,0.2158,0.18989999999999999,0.7505,0.0339,0.5495,0.6214999999999999,0.2942,0.0259,0.0279,0.44439999999999996,0.2891,0.6591,0.6314,0.1309,0.0378,0.0855,UP,Rural,Central Zone
527,Varanasi,634.08,847.73,132.55,0.758,0.9363400000000001,0.96791,0.6815000000000001,0.7862,0.773,0.8364,0.4903,0.12029999999999999,0.4224,0.4111,0.20559999999999998,0.7902,0.04190000000000001,0.5121,0.38670000000000004,0.18460000000000001,0.0591,0.0452,0.3862,0.2139,0.5821999999999999,0.4935,0.11109999999999999,0.045,0.10279999999999999,UP,Urban,Central Zone
528,Varanasi,672.18,925.19,139.29,0.6376,0.96302,0.9202300000000001,0.30510000000000004,0.2026,0.6433,0.8811,0.39399999999999996,0.2677,0.4285,0.2822,0.1993,0.845,0.0231,0.6324000000000001,0.5018,0.1818,0.042,0.0363,0.486,0.2605,0.5875,0.5217,0.1654,0.0701,0.0713,UP,Rural,Central Zone
531,Sant Ravidas Nagar,434.83,632.94,64.42,0.6119,1.0894300000000001,0.9271900000000001,0.1542,0.19010000000000002,0.6084,0.8852,0.3226,0.30010000000000003,0.327,0.3722,0.136,0.8184999999999999,0.0467,0.4739,0.2933,0.19079999999999997,0.0935,0.09269999999999999,0.514,0.24100000000000002,0.6335000000000001,0.5532,0.0857,0.047400000000000005,0.1618,UP,Rural,Central Zone
534,Mirzapur,731.65,898.31,116.84,0.5939,0.9793499999999999,0.9876100000000001,0.1727,0.10310000000000001,0.5906,0.7803,0.32409999999999994,0.3328,0.39759999999999995,0.1072,0.1917,0.7295999999999999,0.07339999999999999,0.42310000000000003,0.5579,0.3005,0.0857,0.0779,0.5009,0.2876,0.6433,0.5748,0.1427,0.0682,0.1114,UP,Rural,Central Zone
537,Sonbhadra,610.16,716.54,96.2,0.5606,0.94256,0.92857,0.0928,0.0378,0.5007,0.8237000000000001,0.20629999999999998,0.4094,0.3892,0.16579999999999998,0.17859999999999998,0.5457,0.0467,0.27940000000000004,0.5385,0.3946,0.0387,0.035,0.4768,0.2781,0.5753,0.607,0.1025,0.032799999999999996,0.0833,UP,Rural,Central Zone
540,Etah,530.27,660.35,99.06,0.6517000000000001,0.94052,0.79847,0.1491,0.1527,0.6227,0.8672,0.2686,0.302,0.2596,0.1441,0.10300000000000001,0.5999,0.013600000000000001,0.46149999999999997,0.3224,0.1997,0.045,0.0446,0.5254,0.25730000000000003,0.39640000000000003,0.3685,0.061799999999999994,0.0187,0.0572,UP,Rural,Central Zone
543,Kanshiram Nagar,415.24,483.88,57.6,0.5554,0.97462,0.8461700000000001,0.11449999999999999,0.0583,0.4521,0.7404000000000001,0.18739999999999998,0.26289999999999997,0.24789999999999998,0.1124,0.0187,0.5965,0.0297,0.4421,0.2447,0.2212,0.045700000000000005,0.0371,0.5392,0.311,0.4,0.3239,0.1177,0.0207,0.0371,UP,Rural,Central Zone
548,Kannur,482.21,498.06,70.46,0.9738,1.1216300000000001,1.0865699999999998,0.9879000000000001,0.5458,0.9879000000000001,1.0,0.6731999999999999,0.0783,0.4768,0.9133,0.7669,1.0,0.0,0.8889,0.6228,0.8212,0.1764,0.1734,0.28859999999999997,0.09949999999999999,0.43700000000000006,0.3668,0.6790999999999999,0.4596,0.4064,KL,Urban,Southern Zone
552,Wayanad,242.75,256.67,46.57,0.8876999999999999,1.0702099999999999,1.23046,0.9506999999999999,0.3179,0.9251,0.9438,0.6088,0.1425,0.5216,0.9145,0.7358,0.9974,0.0,0.7186,0.6823999999999999,0.6249,0.1959,0.2084,0.2618,0.12539999999999998,0.44799999999999995,0.3223,0.5599000000000001,0.2086,0.45520000000000005,KL,Rural,Southern Zone
555,Kozhikode,356.25,399.34,54.29,0.9542,1.1021300000000003,1.35571,0.9918,0.4318,0.9926,0.9703,0.7051999999999999,0.06309999999999999,0.4891,1.0,0.8248000000000001,1.0,0.0,0.6927,0.7598999999999999,0.7238,0.1691,0.1691,0.1561,0.16469999999999999,0.406,0.3886,0.5670000000000001,0.37520000000000003,0.4242,KL,Rural,Southern Zone
557,Malappuram,606.45,692.98,115.61,0.9551999999999999,0.96527,0.78854,0.985,0.4797,0.9834999999999999,0.9776,0.6636,0.2675,0.37200000000000005,0.9201,0.6456999999999999,1.0,0.0,0.6113000000000001,0.6781999999999999,0.5815,0.3851,0.3751,0.2413,0.081,0.5327000000000001,0.37770000000000004,0.6362,0.2999,0.49729999999999996,KL,Urban,Southern Zone
558,Malappuram,627.13,754.97,133.86,0.9389,1.03203,1.1362400000000001,0.9883,0.43479999999999996,0.9843999999999999,0.9883,0.6476999999999999,0.1959,0.4199,0.9445,0.6324000000000001,0.991,0.009000000000000001,0.802,0.6356,0.7415,0.3569,0.3569,0.2867,0.09390000000000001,0.5598,0.3936,0.6804000000000001,0.226,0.5627,KL,Rural,Southern Zone
561,Palakkad,863.23,809.2,141.21,0.9118,0.9557800000000001,1.0410499999999998,0.9695,0.46340000000000003,0.9540000000000001,0.9786,0.6275,0.1307,0.5922,0.9226000000000001,0.7731999999999999,1.0,0.0,0.8784000000000001,0.6694,0.7039,0.1729,0.1838,0.1864,0.1408,0.3922,0.4147,0.581,0.2807,0.45530000000000004,KL,Rural,Southern Zone
