,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
903,Rewari,819.0,1011.0,163.0,0.11258282323409019,-1.3987256369513514,-1.873284693421211,0.4233025518703822,1.0026926792396862,0.17208480533211393,0.7032682152520471,1.4892182180323188,0.7080257780469775,-0.36179929949907164,-0.049429374181459776,-0.8421051744911755,-0.32213944262565714,0.7022762121946903,0.3156507092705252,-1.1757932634022914,0.002302354764798735,-0.3713328024368703,-0.9149416448172267,-0.6620823587087024,-0.8949674546733084,-0.1560717228738371,1.3591206167880094,1.1085755337676837,-0.07096506505060891,0.06544690774173503,0.09346882334231635,HR,Total,Northern Zone
906,Gurgaon,796.0,922.0,141.0,0.7992296674034353,-2.550927278988653,-0.13234330057069288,0.7518976121198023,0.8594721998978834,1.8275583382263658,0.505641618443157,0.7171885690050493,1.2406276333094406,0.8807083623050499,0.1848213412031738,-0.6699787340324173,-0.5677540870161235,-0.204050700727014,0.12747704574304908,-2.1792520778925693,0.6816751843033172,-1.5422722171365992,-0.41535556086044206,-0.521894617893085,0.44453320185627543,-1.1141775078953426,0.6312685744761403,1.7444042716801325,-0.4435730114993273,0.4232808937427034,0.8529013618860497,HR,Total,Northern Zone
908,Mewat,793.0,1058.0,173.0,-1.7735230651804383,-0.8647785345438216,-0.33764299312382,-0.6670356025936008,0.03384826016278594,-0.6730170681034134,-2.063504140072413,-0.7055517842023478,-1.3414800953680703,0.9398753938195322,-1.815319382465618,-1.7105613058967277,-1.2725613274409397,-2.271608970829652,1.2027551230429123,-2.77790648426461,-1.9515963615939167,-0.8162897800227672,-0.783471622723336,-0.7672231643204153,1.5541195665934673,0.45754658888150956,1.7293212245155987,1.5010624090222813,-0.8794540054582054,-0.6255428583291003,-0.5977001162311939,HR,Total,Northern Zone
910,Faridabad,781.0,966.0,125.0,0.521094236853827,-2.354209925470089,-2.0211004720594627,-2.7431589378058434,1.3523191435152633,1.8507118142109007,0.47929140553530564,1.3127542982546563,0.6338660260484066,-0.2730487522273487,-1.1486058079093542,-0.7873376707088433,-0.6158091261359973,-0.3286706512537485,1.8210400174903338,-0.8850182660215863,-0.2896595223922508,0.5654187293229129,0.43919958274984766,0.529513438224045,-0.705038257105681,-0.9096380706435605,1.1834321927816962,0.2451044082075698,-0.5982404609686066,0.040768701810633856,0.14466652256998375,HR,Total,Northern Zone
912,Palwal,800.0,1008.0,155.0,-0.4871466988885018,-1.5954429904699152,-0.3622789562301953,0.43077062142150496,0.8636845669373485,-0.15592277111546515,-0.4693162591473669,0.8605655038243991,0.0405880100598404,0.25205865246367903,-0.878316520927085,-1.2215657364116195,-1.171111800410095,-1.218003934558171,2.0092136810178096,-2.0823270787656676,-0.86796862522256,-0.9568025097867346,-0.612560594001278,-0.3349776301389285,-0.2751984941894713,-0.6405072321543737,1.1959813659250045,0.7239383960181789,-1.0341214549274849,0.07778601070728584,0.16173242231253965,HR,Total,Northern Zone
915,North Goa,798.0,890.0,397.0,1.659711155666284,0.5122429400861239,0.25362012142918616,0.6473446384040774,1.4281417502256293,1.8468529015468116,1.5925879008920523,1.059087413574268,1.9619997663864477,-1.1087830723694068,-1.4669465236884711,1.7084957159431493,3.127144476423065,1.1780978414785845,-0.7327454160968414,1.452584654097811,1.9000545562856195,2.234007395270027,-0.12612151225388246,0.19072639791963644,-1.5347289622695277,-0.7481595675500483,-0.4793332487066264,-1.4111902053668317,2.6005636076005794,5.951199022309386,4.0527575636152635,GA,Total,Western Zone
918,South Goa,790.0,806.0,370.0,1.3294253318886249,0.0907057539749161,0.3111040353440618,0.6174723601995843,1.2722841697654321,1.9973504954462893,1.2434475798630134,1.2465803283380337,1.3754635460341147,-1.1309707091873376,-0.7762072347337833,1.2234121110139218,0.2812182707683143,0.9458515700423981,-0.4908078487043722,1.5780170059090957,1.4396531346148878,0.8347347947038507,0.03164251425878629,-0.206472201057946,-1.844613442511446,-1.0711165737370727,-0.5044315949932425,-1.7487289180857857,1.117162160417946,2.11373800002314,2.107244992963902,GA,Total,Western Zone
921,North West,1263.83,1232.61,162.49,1.1138703732126785,-2.242924108336731,-1.6853944147965891,-0.6618079539078151,0.8556810695623649,2.399063303777971,0.6117012253972614,1.237757132349151,1.045115559858663,-0.6620719844350678,0.218457341360967,0.6068864970070971,1.1739741086397486,0.015167121335922669,-0.23274111015240506,0.7039815726059163,0.11234952384707085,-0.470862652686347,-0.5363079811868214,-0.20530396988448255,0.17963195261721543,-0.8956432670421229,1.0842937249495623,0.008827309304302249,0.48513471917757267,0.23202479777666873,-0.06268415930206932,DL,Total,Northern Zone
924,North,322.04,334.99,32.71,1.358108048164053,-2.362219132006203,1.1718024664037916,-0.07108365241397228,1.3417882259166012,2.430706387623502,1.0892988343520789,-0.1430730399110521,1.171187138256233,-0.7744893443125835,-0.18877851769231854,0.8349540306149514,0.6037209777505791,0.647330143098812,0.13822982651604773,-0.5412195926479285,-0.3379455251528397,-0.9087939937840457,-1.2436167000519533,-1.199468698501902,-0.8219946577131146,-1.108794891125559,0.3903244501246246,0.05357081308332583,0.7410390446631075,-0.03696764687233522,-0.3903494343591408,DL,Total,Northern Zone
927,North East,774.31,853.02,82.79,1.0217380118431219,-1.441300892748583,-1.2654333637099124,0.6570531288205372,1.248273677640483,2.4770133395925726,1.1024739408060051,-0.20373251233462297,1.3208550013806215,-0.9542092025378225,0.4016534136489497,0.3584767477086623,0.5188237419721351,0.046888563288182444,0.07102494668480627,-0.37758738823957044,-0.2700082421989878,-1.015934950229071,0.1486508339223491,-0.15156533590516247,-0.8899693178952128,-1.0937235641701646,-0.5985503935680533,-1.3766513603444275,0.01972630304728663,0.24066216985255398,0.34689743451927,DL,Total,Northern Zone
